n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
2154.8,2403,2575,2729,2876,3019,3128.4,NaN,3312.6,3460.1,3671.6,NaN,3750.7,3928.6,NaN,4121.5,4268.9,4499.2,NaN,4580.9,4761.5,4915.1,5024.1,5208.7,NaN,5402.1,5556,5775.7,5921.2,6026.9,6224.9,NaN,6418.5,6571,6761,6909,7020.2,7214.8,NaN,7408.1,7565.9,7717.3,NaN,7866,8066.6,NaN,8265,8416.8,8644.8,NaN,8729,8924.4,NaN,9121.8,9272.9,9451.4,9605.4,9714,9914.6,NaN,10107,10274,10496,10642,10748,10958,NaN,11153,11306,11562,11716,11823,12014,NaN,12211,12375,12590,NaN,12671,12879,NaN,13068,13237
2188.5,2446.4,2608.6,2789.6,2949.5,3088.2,NaN,3252.9,3410.2,3542.7,NaN,3721.5,3820.9,NaN,4071.4,4209.6,4351.2,NaN,4549.8,4656.8,4839.8,4989.8,5099.5,NaN,5355.8,5496.8,5635.6,5855.5,5992.1,6099.1,NaN,6374.3,6517.3,6656.8,6838.5,6980.1,7109.3,NaN,7358.8,7503.7,7649.7,NaN,7830.8,7956.3,NaN,8217.9,8360,8498.4,NaN,8694.5,8807.7,NaN,9073,9203.1,9353.9,9533.9,9681,9789.4,NaN,10055,10211,10354,10573,10716,10825,NaN,11104,11229,11389,11632,11789,11901,NaN,12162,12311,12457,NaN,12639,12751,NaN,13019,13164,13324
