n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,l,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
2963.8,3146.9,3288.9,3408.3,3528.2,3673.2,3811.5,3949.4,NaN,4131.2,4268.9,4473.2,NaN,4551.6,4733.3,NaN,4924.8,5069,5281.7,NaN,5360.6,5546.2,NaN,5733.8,5880,6058,NaN,6169,6352.6,NaN,6541.1,6683.9,6852.7,NaN,6976.9,7166.2,7235.6,NaN,7353,7499.9,7723.1,NaN,7802.8,7999,NaN,8181.6,8329.4,8551.6,NaN,8631.7,8832.8,NaN,9020.4,9167.5,9354.3,9501.9,9613.2,9793.4,NaN,9987.4,10136,10295,NaN,10436,10620,NaN,10815,10964,11119,NaN,11266,11466,NaN,11650,11794,12004,NaN,12106,12301,NaN,12497,12648,12820,12967,13078,13269,NaN,13463,13614,13831,NaN,13913,14103,NaN,14299,14459,14684,NaN,14767,14972,15120,15262,15412,15523,NaN,15709,15862,16084,NaN,16169,16360,NaN,16559,16712,16973,17116,17218,17405,NaN,17607,17768
3011.9,3200.2,3354.2,3458.4,3591.4,3747,3889.1,NaN,4082.9,4228.4,4351.3,NaN,4519.2,4623.8,NaN,4876.8,5031.3,5153.6,NaN,5329.1,5435.3,NaN,5687,5833.7,5962.8,NaN,6139.7,6236.4,NaN,6496.2,6639.2,6763.9,NaN,6941.5,7066.4,7199.2,NaN,7302.2,7446.8,7578.3,NaN,7769.8,7871.8,NaN,8132.8,8271.6,8415.1,NaN,8599.1,8702.3,NaN,8972,9113.5,9251.9,9434.6,9574.6,9700.3,NaN,9940.1,10084,10222,NaN,10398,10520,NaN,10767,10916,11046,NaN,11229,11354,NaN,11598,11740,11884,NaN,12067,12192,NaN,12450,12591,12729,12894,13039,13169,NaN,13414,13560,13699,NaN,13878,13985,NaN,14251,14396,14542,NaN,14732,14841,15041,15199,15340,15480,NaN,15665,15808,15950,NaN,16133,16237,NaN,16510,16651,16795,17016,17185,17291,NaN,17554,17696,17847
