n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f
3544.3,3692.6,3839.9,3982.5,4120.7,4264.9,4369.8,NaN,4551.3,4689.5,4899.5,NaN,4976.6,5152.4,NaN,5341.7,5481.8,5678,NaN,5771.4,5957.4,NaN,6144.3,6287.5,6485.8,6630.1,6730,6910.2,NaN,7096.4,7243.4,7452.1,NaN,7533.9,7715.6,NaN,7908.1,8052.1,8255.5,NaN,8345.6,8526.8,8673.4,8778.4,8968.2,NaN,9157,9300.9,9516.6,NaN,9597.9,9780.6,NaN,9972.5,10120,10287,10440,10550,10728,NaN,10920,11072,11274,NaN,11369,11556,NaN,11752,11896,12098,12241,12343,12525,NaN,12718,12864,13077,NaN,13157,13353,13503,13647,13774,NaN,13966,14116,14331,NaN,14431,14624,NaN,14815,14974,15122,NaN,15279,15484,NaN,15682,15842,16047,NaN,16146,16337,NaN,16532,16684,16909,17062,17162,17352,NaN,17547,17702,17916,NaN,18002,18219,18367,18519,18658,NaN,18853,19008,19229,NaN,19309,19530,NaN,19723,19879,20097,NaN,20183,20391,NaN,20586,20749,21222,21363,21475,21666,NaN,21862,22011,22177,NaN,22322,22558,22704,22849,23002,23125,NaN,23323,23477,23640,NaN,23797
3591.2,3758.8,3916.7,4056.9,4197.7,4328.5,NaN,4499.2,4648.1,4769.9,NaN,4948.7,5048.2,NaN,5295.3,5441.1,5565.8,NaN,5744.4,5847.6,NaN,6101.2,6248.6,6377,6564.2,6697.9,6806.2,NaN,7053.4,7202.9,7325,NaN,7503.2,7609,NaN,7863.2,8010.6,8137.3,NaN,8317.6,8424.7,8605.1,8746,8851.9,NaN,9107.8,9260.4,9386.4,NaN,9566.5,9671.2,NaN,9926.6,10073,10205,10367,10515,10627,NaN,10876,11023,11163,NaN,11341,11445,NaN,11701,11854,11977,12178,12313,12424,NaN,12674,12822,12947,NaN,13128,13233,13428,13580,13726,NaN,13920,14073,14201,NaN,14402,14506,NaN,14771,14920,15060,NaN,15240,15369,NaN,15632,15793,15927,NaN,16111,16221,NaN,16487,16635,16821,16987,17131,17233,NaN,17495,17643,17785,NaN,17964,18090,18288,18442,18596,NaN,18807,18950,19094,NaN,19280,19395,NaN,19678,19819,19962,NaN,20147,20252,NaN,20538,20682,20831,21285,21435,21564,NaN,21816,21958,22095,NaN,22286,22413,22610,22778,22927,23074,NaN,23279,23414,23559,NaN,23753,23888
