n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l
1994.4,2137.1,2282.4,2421.7,2556.2,2691.7,2801.2,NaN,2976.8,3106.2,3285,NaN,3399.1,3581.6,NaN,3768.6,3908.7,4116.4,NaN,4194.8,4370.8,NaN,4555.2,4694.6,4892.5,5032.7,5137.3,5310.4,NaN,5500.3,5643,5856.8,NaN,5937.3,6118.6,NaN,6307.2,6444,6639.8,NaN,6741.8,6925.8,NaN,7112.7,7255.6,7444.2,NaN,7547.3,7723.9,7863.1,7968.8,8143.2,NaN,8332.6,8479.3,8708.6,8852.5,8959.8,9139.3,NaN,9327.3,9473.5,9665.9,NaN,9769.2,9957.5,NaN,10150,10297,10511,NaN,10593,10786,10932,11040,11227,NaN,11417,11568,11838,11980,12084,12270,NaN,12462,12609,12829,NaN,12912,13098,NaN,13295,13439,13606,13757,13872,14060,NaN,14255,14406,14588,14738,14864,15054,NaN,15250,15399,15622,NaN,15706,15896,NaN,16093,16248,16621,16765,16887,17079,NaN,17270,17422,17593,NaN,17746,17959,NaN,18155
2044.7,2199.8,2358.2,2495,2633.2,2764.9,NaN,2926.1,3086.8,3194.5,NaN,3368.8,3479.8,NaN,3725.5,3871.9,3991.7,NaN,4166.3,4270.1,NaN,4514.2,4654.9,4777.3,4966.1,5104.7,5218.4,NaN,5455.7,5599.8,5730.4,NaN,5907.8,6018.6,NaN,6262.9,6404.4,6530.2,NaN,6714.8,6825,NaN,7071.8,7216.7,7338.2,NaN,7516.8,7629.6,7796.9,7932.8,8045.3,NaN,8286.2,8431.1,8568.4,8788.1,8922,9039.4,NaN,9282.1,9432.7,9554.2,NaN,9735.4,9853.1,NaN,10108,10252,10382,NaN,10562,10677,10863,11009,11125,NaN,11373,11521,11652,11912,12049,12162,NaN,12417,12566,12691,NaN,12881,12990,NaN,13248,13382,13520,13682,13835,13969,NaN,14207,14329,14490,14669,14813,14961,NaN,15205,15351,15485,NaN,15676,15792,NaN,16046,16191,16337,16692,16841,16982,NaN,17226,17359,17509,NaN,17710,17843,NaN,18106,18236
