n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
1826.5,1985.2,2132.6,2277.1,2448.5,2620.5,2781.6,2938.8,3093.2,3248.5,3366.8,NaN,3552,3701,3924.4,NaN,4006.1,4198.6,NaN,4395.9,4542.4,4759.5,NaN,4843.2,5025.6,5182,5288.6,5474.6,NaN,5666.8,5819.2,6008.4,6156.8,6265.2,6458.5,NaN,6657,6810.1,7009.7,NaN,7111.1,7299.9,NaN,7497.5,7625.1,7892.9,NaN,7973.9,8162.2,NaN,8360.9,8512.7,8729.1,NaN,8814.1,9010.5,NaN,9208.4,9360.8,9617.1,9775.5,9880.1,10085,NaN,10283,10438
1858.3,2041.8,2179.1,2344.5,2513.3,2677.5,2848.2,3018.6,3175.8,3326.5,NaN,3496.5,3660,3788.6,NaN,3973.5,4079,NaN,4348.8,4504.6,4626.9,NaN,4813.2,4922,5104.3,5260.3,5367.9,NaN,5620.8,5771.2,5904.5,6083.3,6235.3,6344.7,NaN,6610.5,6759.1,6896.7,NaN,7081.9,7186.8,NaN,7453.8,7579.9,7734.2,NaN,7942.2,8047.6,NaN,8312.8,8456.7,8598,NaN,8779.8,8884.3,NaN,9158.8,9301,9442.8,9693.8,9844.3,9953.7,NaN,10238,10386,10523
