n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
2369.6,2507.3,2657.3,2809.1,2918.9,NaN,3109,3257.9,3469.6,NaN,3550.5,3738.5,NaN,3933.5,4080,4293.1,NaN,4372.7,4562.8,NaN,4755.8,4903.8,5119.4,NaN,5201.4,5393.2,NaN,5588,5735.4,5971.1,6124.4,6227.2,6412.8,NaN,6611.4,6766.1,6988.2,NaN,7072.1,7276.1,NaN,7478.7,7631.6,7852.4,NaN,7938.1,8159.5,8303.2,8426.2,8616.3,NaN,8812.2,8972.8
2410.6,2570.7,2731.2,2881.8,NaN,3062.8,3196.7,3339.4,NaN,3516.5,3618.8,NaN,3885.9,4018.2,4161.2,NaN,4344.6,4446,NaN,4710.2,4846.6,4987.4,NaN,5170.3,5283.5,NaN,5540.8,5683.3,5817.3,6046.8,6194.2,6297.2,NaN,6566.7,6706.4,6850.8,NaN,7039.5,7143.7,NaN,7425.5,7577.3,7715,NaN,7903.2,8011.7,8229.8,8379.9,8516,NaN,8763.6,8899.3,9054.4
