n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e
2597,2688.8,2890.5,3052.3,3209.8,3363.8,3512.1,3650,3797.9,3926.2,NaN,4114.4,4256.9,4469.8,NaN,4549.8,4734.6,NaN,4930.5,5077.8,5304.2,NaN,5388.1,5581.7,NaN,5779.4,5927.3,6137.3,NaN,6218.1,6403.1,6556.5,6655.3,6848.8,NaN,7044.2,7195.9,7421.8,NaN,7504.6,7695.1,NaN,7895.7,8048.7,8275.8,NaN,8361.1,8566.8,8717.2,8823.4,9012.3,NaN,9211.6,9369.1,9739.2,9883,9988.4,10169,NaN,10365,10511,10730,NaN,10813,11045,11204,11358,11475,NaN,11672,11823,12050,NaN,12132,12342,NaN,12543,12703
2640.2,2787.1,2949.1,3110,3272.9,3431.4,3587.6,3729.2,3880.1,NaN,4064.8,4204.5,4339.5,NaN,4517.8,4621.4,NaN,4879.9,5028.1,5161.1,NaN,5353.4,5462.6,NaN,5730.9,5875.7,6009.8,NaN,6188.7,6290.8,6481.3,6622.7,6729.4,NaN,6995.7,7142.3,7282,NaN,7472.8,7581.4,NaN,7841.8,7997.3,8131.5,NaN,8327.3,8439.4,8643.2,8789.8,8899.3,NaN,9159.8,9315.8,9452.6,9814,9955.9,10066,NaN,10315,10469,10597,NaN,10783,10891,11107,11284,11437,NaN,11620,11774,11910,NaN,12103,12208,NaN,12493,12647,12790
