n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
1823.3,1992.6,2142.4,2312.3,2466.1,2608.3,2747.8,2861.5,NaN,3048.1,3197.5,3411.9,NaN,3492.9,3677.5,NaN,3870.2,4017.5,4240.1,NaN,4321.3,4504.2,4660.1,4774.6,4964.8,NaN,5162,5316.4,5483.2,5649.5,5762.8,6005.1,6179.9,6324.8,6457.6,NaN,6656.3,6807.6,6962.5,NaN,7114.4,7316.1,NaN,7517.3,7672.6,7913.2,8068.3,8181.5,8375.7,NaN,8576.3,8729.6,8888.6,9135.6,9291.9,9447.9,9595,9720.1,NaN,9919.8,10082,10236,NaN,10399,10599,NaN,10799,10955,11225,11376,11487,11677,NaN,11880,12036,12195,NaN,12349,12565,NaN,12767,12928,13240,13389,13505,13706,NaN,13911,14071
1863.8,2050.7,2193.4,2376.8,2538.4,2685.5,2820.9,NaN,2989.5,3149.8,3283.2,NaN,3460.8,3566.7,NaN,3825.5,3973.8,4104.2,NaN,4288,4394.2,4582.2,4737.2,4871.3,NaN,5112.7,5263.9,5399.8,5560,5723.6,5860.2,6069.8,6252.5,6402.8,NaN,6608.8,6760.5,6894.3,NaN,7079.2,7215,NaN,7469.7,7619.9,7760.4,7979.8,8143.8,8276.5,NaN,8527.3,8684,8814.3,9003.5,9202.9,9372.2,9523.2,9675.5,NaN,9874.3,10029,10168,NaN,10353,10495,NaN,10751,10903,11043,11292,11450,11585,NaN,11827,11985,12122,NaN,12314,12450,NaN,12715,12861,13012,13314,13466,13599,NaN,13859,13995,14155
