n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f
3941.3,4215.2,4357.7,4496.4,4609.9,NaN,4792.8,4929.6,5140.6,NaN,5219.3,5401.7,NaN,5591.4,5729.9,5951.8,NaN,6031.5,6215.9,NaN,6408.3,6554.8,6769.3,NaN,6846.3,7023.3,NaN,7209.8,7361,7580.1,NaN,7659.9,7846.8,NaN,8037.7,8191,8392,8536.7,8636.8,8819.5,NaN,9010.7,9157.9,9370.5,NaN,9450.7,9651.6,9800.9,9951.1,10065,NaN,10248,10397,10615,NaN,10694,10910,11066,11344,11487,11641,11768,NaN,11960,12106,12304,12455,12562,12749,NaN,12941,13092,13309,NaN,13392,13578,NaN,13784,13930,14117,14263,14368,14554,NaN,14746,14899,15129,NaN,15212,15398,NaN,15594,15757,15990,NaN,16073,16303,NaN,16486,16636,16850,16999,17106,17308,NaN,17504,17664,18171,18308,18457,18564,NaN,18753,18902,19060,NaN,19204,19397,NaN,19601,19751,19979,20134,20249,20431,NaN,20632,20784,20955,NaN,21087
4137.2,4289.7,4433.7,4571.9,NaN,4736.2,4886.8,5011.1,NaN,5190.4,5290.1,NaN,5540.5,5690.3,5811.2,NaN,6001.4,6104.8,NaN,6362.5,6511.3,6636.3,NaN,6819.8,6917.6,NaN,7164,7316.7,7442.6,NaN,7629,7737.2,NaN,7990.8,8144.1,8275,8468.2,8610.2,8706.9,NaN,8961.8,9113.3,9240.3,NaN,9418.9,9524.9,9723.2,9875.3,10026,NaN,10191,10351,10479,NaN,10662,10767,10976,11128,11411,11567,11721,NaN,11913,12061,12190,12381,12528,12641,NaN,12895,13045,13176,NaN,13361,13469,NaN,13754,13867,14009,14189,14333,14438,NaN,14696,14842,14983,NaN,15177,15280,NaN,15545,15662,15834,NaN,16037,16137,NaN,16440,16582,16718,16926,17070,17199,NaN,17454,17605,17747,18234,18385,18527,NaN,18694,18850,18986,NaN,19168,19293,NaN,19545,19681,19834,20056,20204,20340,NaN,20584,20734,20867,NaN,21048,21176
