n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,d,g,a,b,l,e,n,n,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1970.7,2127.7,2487.3,2669.2,3105.5,3319.1,3471.1,3633.3,3788,3933.2,4085.7,4238.2,4374.7,NaN,4562.8,4711,4926.6,NaN,5012.4,5199.2,NaN,5393.6,5546.8,5768.9,NaN,5851.1,6046.7,NaN,6243.6,6388.9,6616.1,NaN,6700.7,6894,7044.6,7150.6,7330.8,NaN,7525.6,7679.1,7870,8025.1,8132.5,8315.4,NaN,8514,8669.7,8888.8,NaN,8974.6,9174,NaN,9370.3,9524,9742.9,NaN,9824.2,10008,10160,10274,10463,NaN,10662,10818,11037,NaN,11121,11338,NaN,11410,NaN,11525,11682,11880,12031,12138,12353,12502,12621,12803,NaN,13002,13158,13374,NaN,13460,13657,NaN,13856,14020,14255,NaN,14340,14548,NaN,14743,14899,15136,15302,15423,15625,NaN,15823,15974,16139,NaN,16288,16491,NaN,16690,16861
2009.9,2181.7,2534.9,2712.3,3154.1,3360.7,3539.3,3708.1,3862.6,4006.3,4161.9,4314.3,NaN,4513.1,4654.8,4792.2,NaN,4977,5082.2,NaN,5350.4,5482.6,5628,NaN,5820.3,5923.6,NaN,6195.2,6326.4,6471.3,NaN,6666.5,6773,6965.8,7118.7,7222.4,NaN,7480.2,7623,7760.2,7953,8098.2,8201.4,NaN,8468.9,8610.9,8756,NaN,8939.6,9049.3,NaN,9322.9,9472.3,9606.6,NaN,9792.6,9895.8,10088,10234,10363,NaN,10614,10763,10897,NaN,11087,11196,NaN,11374,NaN,11478,11614,11766,11961,12104,12209,12420,12580,12714,NaN,12955,13097,13241,NaN,13426,13533,NaN,13812,13956,14106,NaN,14307,14418,NaN,14694,14836,14986,15219,15375,15517,NaN,15779,15927,16057,NaN,16250,16388,NaN,16643,16785,16940
