n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l
1974.5,2125.4,2290.8,2453.5,2833.5,3000.4,3150.1,3300.9,3421.7,NaN,3611.3,3755.9,3968.1,NaN,4051.8,4258.3,NaN,4445.8,4594.9,4830.2,NaN,4909.8,5119.3,5269.7,5414.8,5524.7,NaN,5719.8,5876.8,6095.2,NaN,6175.5,6369,NaN,6561.7,6714.6,6941.3,NaN,7022.2,7218.4,NaN,7413.8,7584.1,7752,7905,8017.3,8203.4,NaN,8401.4,8550.9,8770.5,NaN,8854,9084.1,9228.3,9343.1,9550.2,NaN,9747.9,9905.2,10068,NaN,10215,10445,10594,10738,10875,NaN,11069,11220,11426,NaN,11521,11725,NaN,11925,12083,12336,12486,12589,12805,NaN,13003,13157,13390,NaN,13471,13675,13848,13986,14189,NaN,14390
2016.5,2184.6,2348.8,2507.2,2886.8,3072.8,3223.2,3377.9,NaN,3556.3,3694.7,3840.5,NaN,4014.5,4114.3,NaN,4392,4529.1,4679.4,NaN,4888,5001.1,5188.5,5343.4,5489,NaN,5672.4,5814.8,5959.6,NaN,6143.1,6238.7,NaN,6512.3,6657.1,6797.9,NaN,6991.2,7088.3,NaN,7365.1,7498,7658.7,7827.3,7977.8,8115.9,NaN,8354.2,8500.8,8636.2,NaN,8820.6,8928.1,9150.1,9303.8,9435.5,NaN,9701.3,9837.7,9992.9,NaN,10180,10305,10515,10664,10812,NaN,11022,11165,11303,NaN,11490,11594,NaN,11877,12023,12165,12409,12555,12662,NaN,12957,13102,13241,NaN,13440,13546,13751,13923,14078,NaN,14343,14491
