n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
2152.1,2298.3,2443.8,2589.8,2733.8,2873.7,2991.1,NaN,3175.8,3316.6,3521.2,NaN,3601.8,3790.3,NaN,3977.9,4121.1,4352,NaN,4432.1,4631.8,NaN,4821.9,4971.3,5205.2,5351,5457.6,5633.9,NaN,5822.4,5962.9
2198.8,2356.2,2516.3,2665.8,2806.7,2948.6,NaN,3134,3276,3396.3,NaN,3570.7,3684.2,NaN,3937.1,4079.5,4207.3,NaN,4401.8,4510.6,NaN,4772.5,4921.2,5053.6,5279.7,5417.2,5531.1,NaN,5777.3,5924.9,6046.6
