n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n
2524.7,2663.7,2804.8,2955.9,3106.7,3242.2,3380.5,3529.4,3675.3,3791.4,NaN,3981.8,4128.8,4350.7,NaN,4431.1,4614.3,NaN,4806.4,4956.8,5175.7,NaN,5259.9,5448.7,NaN,5642.1,5793.6,6010.6,NaN,6090.8,6292.8,6448.4,6594.7,6720.7,NaN,6913.1,7067.7,7294,7435.3,7542.9,7723.8,NaN,7914.2,8062.8,8253.2,8352,8516.1,8709.8,NaN,8900.1,9048.1,9264.6,NaN,9345.5,9539.8,NaN,9732.3,9883.9,10099,NaN,10182,10413,10592,10740,10856,NaN,11053,11194,11410,NaN,11491,11735
2564.8,2695.7,2861.1,3009.2,3166.2,3307.1,3449.8,3606.8,3756.1,NaN,3937.9,4082.5,4213.6,NaN,4398.7,4499.4,NaN,4756.8,4906.7,5045.6,NaN,5225.3,5331.8,NaN,5594.4,5749.6,5880.7,NaN,6055.9,6161.7,6367.4,6526.8,6677.1,NaN,6868.8,6993.8,7109.8,7370.7,7511,7618.6,NaN,7869.3,8023.3,8146.5,8324.6,8475.5,8606.6,NaN,8855.9,8996.6,9131.4,NaN,9315.7,9421.8,NaN,9687.7,9833.8,9965.1,NaN,10150,10256,10484,10668,10812,NaN,11005,11151,11280,NaN,11461,11576,11798
