n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,n
1988.1,2126.8,2276.5,2428.5,2566.3,2710.7,2830.6,NaN,3010.1,3149.6,3358.2,NaN,3438.6,3617.8,NaN,3805.7,3955.7,4173.7,NaN,4255.1,4439.4,NaN,4628.2,4777.8,4976.2,5132,5235.9,5423.5,NaN,5616.2,5765.5,6084,6227.9,6335.6,6515.5,NaN,6713.6,6860.9,7076.5,7227.6,7334,7523.1,NaN,7718.2,7876.9,8091.1,NaN,8177.5,8385.8,NaN,8579.4,8744.4
2032.1,2187.6,2352.1,2502.4,2641.1,2789.5,NaN,2960.1,3108.8,3232.8,NaN,3405.1,3515.3,NaN,3762.6,3907.8,4036.8,NaN,4222.4,4334.7,NaN,4586.5,4725,4861.9,5054.8,5204.4,5309.9,NaN,5571.3,5724.2,5852.4,6162.3,6303.2,6416.6,NaN,6666.6,6804.4,6944.4,7152.8,7302.8,7419.8,NaN,7672,7824.7,7959.8,NaN,8142.5,8257.8,NaN,8533.5,8658.7,8789.3
