n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n
1616.2,1788.4,1976.5,2166.7,2348.2,2503.4,2649.7,2791.8,2899.6,NaN,3091.3,3238.3,3450.9,NaN,3531.2,3708.3,NaN,3900.9,4054.9,4272.8,NaN,4354.3,4520.8,4688.3,4795.1,4973.5,NaN,5171.4,5321.9,5536.9,NaN,5633.6,5834.7,NaN,6031.4,6182.4,6341.4,NaN,6490.7,6703.8,NaN,6900.4,7053.4,7279.2,7429.8,7535.7,7726.7,NaN,7928,8084,8245.3,8407.4,8520.8,8724.9,NaN,8926.2,9088.2,9317.4,NaN,9403.9,9640.8,9794.8,9951.3,10108,NaN,10304,10459,10625
1655.9,1838.1,2024.5,2211.8,2412.1,2576.5,2724.4,2864,NaN,3037.1,3192.7,3323.2,NaN,3498,3601.1,NaN,3857,4004.2,4138.8,NaN,4323,4431,4598.5,4761.6,4871.5,NaN,5116.4,5270.5,5408.2,NaN,5599.8,5711,NaN,5981.5,6130.3,6266.9,NaN,6454.4,6585,NaN,6851.4,6998.8,7138.4,7354,7503.6,7615,NaN,7874.1,8025.6,8168.9,8327.2,8481.7,8617.2,NaN,8875,9026.4,9174.5,NaN,9368.8,9488.7,9710.2,9872,10030,NaN,10259,10410,10549,10739
