n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e
3119.3,3273,3416,3558.7,3699.1,3819.5,NaN,4008.7,4149.5,4359.5,NaN,4439.3,4617.2,NaN,4808.8,4951.2,5147.2,NaN,5248.5,5430.9,NaN,5620.4,5771.7,5943.2,6093.2,6196.8,6381.4,NaN,6571,6721.8,6942.4,NaN,7023.1,7217.6,7366.2,7478.7,7662.2,NaN,7856.5,8006.2,8455.8,8596.2,8711.3,8889.6,NaN,9084.2,9236.5,9463.9,NaN,9547.2,9729,NaN,9922.7,10082,10238,NaN,10430,10618,NaN,10813,10982
3174.8,3336.4,3492.8,3636.8,3776.5,NaN,3965,4113.3,4232.4,NaN,4408.8,4516.2,NaN,4765.1,4911.8,5035.1,NaN,5216.2,5324.7,NaN,5576.3,5728.9,5855.3,6022.8,6165.2,6275.4,NaN,6526.5,6672.1,6805.3,NaN,6995.9,7101.4,7291.3,7444.3,7556.6,NaN,7809.4,7963.8,8092.9,8530.2,8670.6,8805.2,NaN,9038.5,9192.4,9320.4,NaN,9515.6,9626.8,NaN,9881.5,10026,10167,NaN,10357,10521,NaN,10768,10917,11065
