n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
2537.4,2705.4,2855.9,3010.2,3153.1,3284,3434.5,3579,3693.1,NaN,3869.9,4013.1,4222.3,NaN,4300.8,4480.2,NaN,4670.1,4809.1,5019.3,NaN,5102.8,5289.2,NaN,5476.5,5623.6,5840.7,NaN,5920.5,6102.2,6254.8,6359.2,6540.7,NaN,6729.8,6869.8,7085.3,NaN,7165.9,7350.2,NaN,7542.2,7685.4,7900.1,NaN,7984.3,8167.1,NaN,8356.9,8501.3,8720.9,NaN,8803.4,8986.6,NaN,9180.2,9327,9543.4,NaN,9625.6,9826.9,NaN,10010,10159,10360,10501,10603,10783,NaN,10974,11199,11355,11498,11629,NaN,11818,11970,12166,NaN,12262,12449,NaN,12642,12789,12995,NaN,13092,13303,13458,13571,13758,NaN,13953,14105,14358,14500,14606,14792,NaN,14987,15139,15355,NaN,15441,15640,NaN,15836,15982
2568.1,2756.3,2913.4,3074.4,3205.7,3353.7,3515.3,3655.3,NaN,3815.8,3972.8,4096.5,NaN,4271,4377.6,NaN,4626.6,4771.6,4893.9,NaN,5068.7,5179.5,NaN,5435.8,5573.7,5707.2,NaN,5892.1,5994.1,6179.1,6322.2,6431.2,NaN,6685.3,6832.1,6958.4,NaN,7131.8,7246.6,NaN,7495.6,7647.7,7771.7,NaN,7947.3,8064.3,NaN,8312.7,8458.8,8585,NaN,8768.9,8882.9,NaN,9138.1,9289.5,9411.1,NaN,9595.1,9699.6,NaN,9966.7,10118,10245,10434,10573,10679,NaN,10929,11069,11261,11438,11580,NaN,11776,11925,12055,NaN,12235,12340,NaN,12600,12746,12875,NaN,13066,13179,13376,13535,13671,NaN,13907,14057,14193,14434,14574,14691,NaN,14942,15092,15224,NaN,15406,15518,NaN,15789,15941,16068
