n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e
1981.2,2108,2269.5,2403.8,2565.3,2705.3,2848.2,2996.8,3113.2,NaN,3295.4,3445.8,3659.8,NaN,3738.5,3928.7,NaN,4122,4273.5,4428.5,NaN,4584.1,4782.2,NaN,4979.7,5135.6
2014.8,2159.1,2313,2465.6,2638.3,2783.6,2925.8,3075.6,NaN,3244.9,3397.6,3529.4,NaN,3709,3813.6,NaN,4076.5,4220.2,4356.6,NaN,4547.3,4674.1,NaN,4928,5084.4,5222.2
