l,l,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1986,2118.3,2664.2,2815.5,2968.2,3116.1,3255.6,3390.1,3498.4,NaN,3682.7,3819.6,4023,NaN,4102.8,4278.7,NaN,4462.2,4602.5,4810.8,NaN,4887.7,5067.6,NaN,5252.7,5396.3,5603.4,NaN,5684.6,5865.9,NaN,6052.9,6191.8,6401.8,NaN,6480.7,6658.8,6809.4,6915.3,7095,NaN,7285,7430.2,7642.2,NaN,7722.2,7903.5,NaN,8091.4,8241,8398.2,8548.4,8655.8,8837.2,NaN,9026.7,9172.3,9387.9,NaN,9472.6,9658.3,NaN,9848.2,9994.8,10218,NaN,10303,10492,NaN,10686,10836,11052,NaN,11134,11344,11497,11619,11813,NaN,12005,12152,12370,NaN,12457,12648,NaN,12840,12993,13244,13449,13596,13700,13878,NaN,14073,14222,14444,NaN,14526,14711,14868,14982,15174,NaN,15369,15520
2026,2165,2719.8,2876.5,3041.7,3194.3,3329.4,3469,NaN,3637.6,3780.8,3900.8,NaN,4072.8,4174.4,NaN,4418.7,4564.5,4685.5,NaN,4861.9,4964.9,NaN,5211.4,5355.8,5481.1,NaN,5654.2,5760.6,NaN,6010.9,6153.2,6289.1,NaN,6452.1,6559.4,6737.5,6883.2,6990.9,NaN,7240.9,7389,7512.7,NaN,7693.1,7793.9,NaN,8048.2,8192.3,8324.3,8477.6,8622.2,8729.3,NaN,8982.2,9133,9256.3,NaN,9439.6,9546,NaN,9803.1,9951.4,10078,NaN,10267,10390,NaN,10642,10793,10922,NaN,11104,11220,11421,11572,11726,NaN,11960,12103,12237,NaN,12422,12536,NaN,12792,12946,13077,13281,13520,13668,13780,NaN,14027,14178,14307,NaN,14498,14608,14784,14941,15076,NaN,15324,15478,15607
