n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,n,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1977.8,2168.1,2422,2637.3,3137.4,3309.6,3466.5,3628.2,3784.8,3944.6,4094.6,4240.4,NaN,4426.2,4573.1,4788.2,NaN,4870.4,5069.4,NaN,5256.6,5405.5,5572.4,NaN,5708.9,5917.8,NaN,6104.3,6256.2,6481.5,NaN,6561.6,6757.2,NaN,6955.3,7104,7262.5,NaN,7413.3,7608.1,7762.7,7875.6,8066.5,NaN,8265.1,8413,8636.3,NaN,8722.1,8942.2,9095.7,9205.2,9400,NaN,9600.3,9753.2,9912.2,NaN,10069,10268,NaN,10467,10621,10794,10948,11063,11259,NaN,11460,11617,11772,NaN,11933,12145,NaN,12340,12502,12665,NaN,12895,13061,13210,13351,13473,NaN,13669,13828,13993,NaN,14151,14369,14536,14680,14810,NaN,15011,15170,15362,NaN,15515,15741,15914,16061,16265,NaN,16470,16627,16801,NaN,16955,17158,NaN,17368,17545
2008.5,2211.8,2458.3,2676.2,3171.2,3373.2,3538.4,3697.7,3861.3,4021.1,4172.7,NaN,4378.8,4521.2,4657,NaN,4836.8,4941.2,NaN,5204.1,5352.2,5491.2,NaN,5673.3,5800.9,NaN,6057.9,6202.1,6337.9,NaN,6529.9,6637.1,NaN,6907.4,7046.5,7188.8,NaN,7376.6,7502.8,7690.2,7838.6,7965.8,NaN,8215.8,8362.2,8494.5,NaN,8687.8,8801.6,9013.9,9169.2,9301,NaN,9548.5,9705.2,9838.3,NaN,10032,10160,NaN,10416,10568,10705,10874,11026,11158,NaN,11414,11538,11705,NaN,11894,12029,NaN,12289,12434,12586,NaN,12783,12969,13138,13288,13434,NaN,13621,13781,13914,NaN,14114,14247,14438,14614,14760,NaN,14963,15118,15255,NaN,15479,15612,15806,15991,16153,NaN,16419,16574,16713,NaN,16917,17048,NaN,17314,17469,17628
