n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,n,f,a,b,l,e,d,g,f
1984.5,2121.9,2264.7,2407.2,2542.8,2642.9,NaN,2834.4,2974.8,3181.5,NaN,3260.9,3463.3,NaN,3644,3792.2,4005.9,NaN,4086.3,4273.8,4431.1,4533,4714.3,NaN,4920.2,5065.5,5407.8,5553,5702.1,5828.4,6008.7,NaN,6204.6,6353.3,6570.3,NaN,6650.5
2033,2168.8,2335.2,2479.8,2611.6,NaN,2778.7,2927.8,3056.6,NaN,3229,3330.2,NaN,3602.8,3734.1,3872.9,NaN,4056.8,4154.9,4346,4500.1,4602.3,NaN,4859.9,5011.8,5151.8,5473.7,5632.8,5777.1,5917.2,NaN,6159.6,6293.2,6438.5,NaN,6617.9,6761.8
