n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e
1979.9,2117.1,2272.2,2421.8,2540.8,2698.8,2849.2,2998.1,NaN,3182.6,3328.7,3539.9,NaN,3619.2,3813.8,NaN,4012.3,4170.9,4320.7,NaN,4472.1,4676.7,NaN,4869.2,5027.1,5268.9,NaN,5348.9,5545.6,5696.4,5804,5988.8,NaN,6185,6332,6507.8,NaN,6650.7,6837.4,NaN,7032,7191.6,7415.2,NaN,7494.7,7696.8,7852.1,7960.2,8151.4,NaN,8346.3,8499.4,8659.7,NaN,8817.8,9028.2,NaN,9221.2,9376.8,9540.8,NaN,9686.8,9887.4,NaN,10085,10242
2022.2,2168.5,2327.7,2479.8,2606.2,2772.3,2927.3,NaN,3133.5,3264.5,3412.5,NaN,3589.4,3688.7,NaN,3959.7,4104,4251.1,NaN,4429.9,4560.1,NaN,4820,4972.4,5113.8,NaN,5313.8,5417.3,5620.8,5771.1,5877.1,NaN,6136.3,6278.8,6415.3,NaN,6614.8,6737.7,NaN,6980.9,7129.9,7274.3,NaN,7463.2,7572.2,7775.5,7929.3,8038.1,NaN,8299.4,8444.9,8588.4,NaN,8775.1,8916.5,NaN,9174.9,9325.5,9458.3,NaN,9649.2,9775.9,NaN,10037,10184,10326
