n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1985,2143.8,2365.9,2543.2,2718.4,2871.7,3031.8,3188.3,3337.3,3450.1,NaN,3639.9,3790.9,4006.9,NaN,4087.3,4274.2,NaN,4468.9,4623.5,4826.8,NaN,4918.8,5110.2,NaN,5304.4,5454.5,5658.7,NaN,5755.4,5943.2,6098.1,6202.2,6393.2,NaN,6588.8,6740.2,6962.9,NaN,7043.7,7229.7,NaN,7427.5,7576.2,7781.8,7930.2,8036.8,8217.1,NaN,8413.1,8563.8,8769.2,NaN,8867.2,9050.9,9211.8,9359.8,9538.2,NaN,9735.2,9883.9,10039,NaN,10193,10380,NaN,10577,10725,10937,NaN,11039,11222,11379,11494,11691,NaN,11889,12056
2025.5,2181.7,2411.7,2585.9,2761.4,2929.5,3100.3,3261.1,3407.6,NaN,3576.3,3746.1,3878.5,NaN,4056.4,4165.9,NaN,4423,4569.8,4708.5,NaN,4889.8,4997.7,NaN,5257.2,5407.2,5537.1,NaN,5725.3,5830,6020.2,6171.4,6281.4,NaN,6541.8,6690.8,6823.6,NaN,7010.3,7129.1,NaN,7380.5,7529.3,7662.4,7865.1,8004.2,8121.7,NaN,8364.9,8520.4,8647.9,NaN,8834.9,8945.1,9127.2,9280.8,9452.6,NaN,9689.4,9840,9970.3,NaN,10156,10291,NaN,10533,10682,10811,NaN,11003,11117,11300,11457,11593,NaN,11844,11989,12142
