n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1984.5,2133.6,2314.7,2461.3,2605,2748.9,2869.7,NaN,3053.3,3201.8,3411.9,NaN,3493.3,3682.7,NaN,3876.1,4026.3,4247.6,NaN,4334,4523.6,NaN,4721.8,4866,5084.2,NaN,5168.4,5362.6,NaN,5557.3,5713.8,5916.1,6064.5,6172.8,6361.8,NaN,6554.9,6715,6933.7,7086.9,7189.9,7372.6,NaN,7569.8,7723.7,7937.8,NaN,8022.5,8213.8,NaN,8409.7,8570.2,8798.6,NaN,8883.7,9087.2,NaN,9281.9,9430.4,9657.9,NaN,9740.4,9958.6,10107,10250,10362,NaN,10553,10708,10878,NaN,11022,11209,11368,11472,11670,NaN,11869,12044
2022.4,2183.9,2370.8,2530.9,2675.8,2822.6,NaN,3007.2,3140.2,3281.7,NaN,3459.2,3560.1,NaN,3826.8,3963.5,4106.8,NaN,4295,4419.6,NaN,4671,4812.9,4945.4,NaN,5132.4,5256.5,NaN,5508.6,5644.3,5795.3,5991.4,6135.2,6262.2,NaN,6507.5,6646.3,6796.1,7008.1,7154.1,7281,NaN,7520.2,7675.8,7805.8,NaN,7987.8,8096.2,NaN,8361.8,8484.1,8650.2,NaN,8847.8,8974.2,NaN,9230.9,9367.6,9514.3,NaN,9707.2,9809.2,10027,10181,10324,NaN,10500,10645,10793,NaN,10985,11111,11283,11437,11542,NaN,11822,11966,12124
