n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,a,b,l
1856.1,1983,2137.5,2299,2477.4,2643.4,2794.9,2945.1,3060.6,NaN,3254.4,3399.6,3613.2,NaN,3694.5,3882,NaN,4075.8,4220,4424.9,NaN,4519.7,4721.2,4874.5,4976.8,5166.7,NaN,5365.3,5515.7,5671.3,NaN,5820.6,6013,NaN,6212.2,6365,6567.6,NaN,6661.8,6850.4,7003.8,7115.9,7305.9,NaN,7503.9,7658.9,7903.5,8052.6,8158.7,8357.6,NaN,8554.1,8706.5,8919,NaN,9002.2,9200.2,NaN,9398.9,9567.1,9822.9,9975.8,10090,10281,NaN,10478,10638,10861,NaN,10946,11177,11345,11477,NaN,11676,11834,12056,NaN,12139,12346,NaN,12549
1894.7,2045,2198.8,2359.5,2532.6,2708.1,2870.4,3020.7,NaN,3204,3347.6,3484.2,NaN,3660.4,3761.5,NaN,4027.3,4165.8,4302.8,NaN,4485.7,4594.2,4795.2,4945.5,5050,NaN,5315.1,5460,5600.6,NaN,5785.1,5908.6,NaN,6165.2,6304,6446.2,NaN,6632.5,6734.8,6925.8,7078.9,7210.4,NaN,7454.4,7601.7,7742.4,7975,8125.2,8235,NaN,8504.4,8653.4,8790.8,NaN,8970.6,9073.3,NaN,9348.5,9493.6,9648.3,9898.3,10050,10179,NaN,10433,10576,10722,NaN,10912,11032,11247,11421,NaN,11621,11773,11920,NaN,12107,12217,NaN,12495,12624
