n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
3881.6,4030.9,4169,4304.5,4442.3,4583.2,4695.5,NaN,4872.2,5010.6,5217.6,NaN,5297.2,5477.2,NaN,5663.8,5805.8,6018.8,NaN,6097.8,6285.2,NaN,6474.7,6615.2,6830.1,NaN,6908.1,7109.8,NaN,7295.8,7437.2,7648.6,NaN,7743.4,7926.4,NaN,8117.5,8259.1,8478.8,NaN,8560.1,8748.3,NaN,8938.9,9085.2,9298.6,NaN,9380.9,9573.3,9719.3,9824.8,10014,NaN,10205,10345,10539,10687,10789,10981,NaN,11175,11321,11593,11731,11836,12014,NaN,12209,12355,12552,NaN,12653,12856,13006,13157,13272,NaN,13463,13612,13837,NaN,13921,14112,NaN,14306,14448,14722,14869,14972,15160,NaN,15356,15502
3929.1,4102.8,4242.9,4379.8,4517.5,4658.9,NaN,4820.9,4969.8,5093.6,NaN,5268.8,5369.1,NaN,5622.2,5763.8,5891.1,NaN,6066.9,6180.8,NaN,6429.8,6574.4,6700,NaN,6879.8,6986.8,NaN,7251.8,7402.2,7521,NaN,7707.7,7821.5,NaN,8069.9,8217.3,8343.7,NaN,8527.8,8635,NaN,8895.6,9040.5,9168.5,NaN,9349.8,9455.9,9646.2,9788.9,9900.5,NaN,10158,10308,10433,10614,10762,10865,NaN,11128,11277,11407,11668,11798,11914,NaN,12160,12311,12437,NaN,12624,12732,12927,13084,13237,NaN,13406,13567,13699,NaN,13891,13998,NaN,14260,14405,14536,14800,14938,15059,NaN,15312,15464,15589
