n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,n,a,b,l,e
1977,2134.8,2296.9,2442.4,2604.1,2758.8,2908.2,3022.4,NaN,3214.4,3356.6,3573.7,NaN,3653.1,3845.5,NaN,4040,4188.8,4409.8,NaN,4489.4,4685.8,NaN,4881.1,5025.8,5223.6,NaN,5326.2,5525.7,NaN,5713.4,5864.2,6038.4,6197.9,6325,6507.2,NaN,6701.9,6852.5,7076.1,NaN,7157.6,7354.2,NaN,7546.4,7691,7896.8,8054.2,8164.9,8355.9,NaN,8552.3,8707.3,8927.1,NaN,9012.3,9212.9,9365.8,9518.8,9628.5,NaN,9825,9976,10204,NaN,10289,10479,NaN,10681,10839,11062,NaN,11147,11347,11510,11634,11830,NaN,12030,12189,12612,12757,12875,13059,NaN,13259,13416,13576,NaN,13733,13962,14109,14225,14416,NaN,14620,14777,15000,NaN,15086,15299,15465,15584,15799,NaN,15999,16150,16473,16624,16762,16906,NaN,17106,17278
2023.4,2184.1,2338,2504.6,2674.8,2835.8,2982.1,NaN,3162.7,3311.2,3440.7,NaN,3619.7,3728.3,NaN,3990.5,4141.4,4276.9,NaN,4456.6,4566.7,NaN,4833.2,4982.1,5112.7,NaN,5293.5,5402,NaN,5663.8,5821.9,5950.3,6119.4,6274.2,6412.2,NaN,6655,6805.5,6935.6,NaN,7126.6,7231.7,NaN,7498.4,7650.2,7782.4,7980.4,8127.4,8244.8,NaN,8505.8,8656.2,8794.8,NaN,8981.2,9093.2,9283.8,9441.9,9593,NaN,9767.5,9929.4,10062,NaN,10254,10369,NaN,10633,10793,10924,NaN,11116,11231,11422,11591,11730,NaN,11983,12136,12282,12684,12835,12971,NaN,13212,13365,13505,NaN,13695,13831,14030,14188,14317,NaN,14570,14725,14862,NaN,15054,15170,15377,15542,15681,NaN,15951,16095,16238,16539,16697,16847,NaN,17057,17216,17369
