n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,n,n,n,n,a,b,l,e,d,g,f,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b
1991.7,2140.4,2294.3,2453.6,2602.8,2737.8,NaN,2920.7,3065.9,3281.2,NaN,3360.5,3547.8,NaN,3741.2,3890.4,4092.6,NaN,4186,4372.9,4525.7,4639.2,4824.8,NaN,5020.7,5169.1,5393.9,NaN,5475.9,5676.3,NaN,5870.8,6023.6,6201.2,6352.2,6459.8,6658.3,NaN,6854.2,7002.7,7205.9,NaN,7302.9,7495.6,NaN,7695.4,7846.2,8048.3,8205.6,8320.2,8504.9,NaN,8703.7,8856.4,9067.2,NaN,9162.1,9360.7,NaN,9561.7,9711.8,9872,NaN,10035,10217,10374,10489,10692,10850,10971,11157,NaN,11355,11505,11674,NaN,11830,12032,NaN,12231,12387,12623,12776,12906,13095,NaN,13295,13450,13609,NaN,13766,13975,NaN,14176,14330,14602,14753,14866,15061,NaN,15263,15418,15648,NaN,15738,15938,NaN,16139,16396,16551,16700,16861,16995,NaN,17195,17354,17584,NaN,17672,17889,18048,18217,18371,18519,18650,NaN,18851,19014,19178,NaN,19333,19543,NaN,19742,19897,20061,NaN,20229,20437,NaN
2034.3,2194.6,2365.7,2523.6,2680.1,NaN,2876.2,3024.6,3152.8,NaN,3330.9,3436.8,NaN,3695.6,3844.6,3975.8,NaN,4159.7,4265.9,4452.3,4599,4726.7,NaN,4975.7,5124,5255.6,NaN,5443.6,5549.7,NaN,5823.9,5974.4,6111.3,6275.8,6429.8,6542,NaN,6805.9,6957.8,7089.9,NaN,7270.8,7383.8,NaN,7648.3,7804.8,7935,8125.8,8280.4,8415.9,NaN,8658.2,8809.7,8944.5,NaN,9131.3,9241.8,NaN,9512.4,9668.5,9800.5,NaN,9995.2,10133,10296,10449,10585,10767,10927,11070,NaN,11308,11461,11593,NaN,11793,11922,NaN,12188,12339,12474,12697,12853,12996,NaN,13248,13402,13542,NaN,13730,13865,NaN,14125,14261,14422,14677,14829,14965,NaN,15217,15371,15507,NaN,15703,15823,NaN,16089,16211,16468,16635,16776,16942,NaN,17147,17303,17441,NaN,17638,17756,17966,18127,18294,18453,18603,NaN,18805,18954,19106,NaN,19298,19428,NaN,19696,19850,19987,NaN,20183,20326,NaN,20590
