n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n,n,a,b,l,e,d,g,f,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1968.6,2148.3,2329.7,2503.5,2723.9,2908.5,3092,3262.5,3416.7,3580.1,3685.6,NaN,3872.7,4016.5,4195.7,NaN,4312.1,4504,NaN,4699,4848,5059.8,NaN,5142.9,5327.3,5480.5,5598.7,5785.2,NaN,5974.2,6120.8,6344.3,NaN,6427,6634.8,6782.7,6930.1,7078.6,7191.1,NaN,7378.3,7524.7,7742.3,NaN,7828.1,8024.5,NaN,8221.6,8377.3,8605.9,NaN,8700.8,8881.2,9030.7,9139.6,9333.6,NaN,9528.9,9675.8,9844.6,NaN,9989,10175,10328,10465,10646,NaN,10846,11006,11214,11368,11484,11679,NaN,11876,12026,12192,NaN,12337,12538,NaN,12741,12893,13175,13336,13484,13646,13765,NaN,13963,14123,14289,NaN,14440,14655,14808,14957,15112,15275,15430,15580,NaN,15782,15942,16102,NaN,16251,16470,16630,16788,16911,17111,NaN,17314,17479,17705,NaN,17790,17988,NaN,18191,18373,18534,NaN,18685,18931,19139,19301,19426,19611,NaN,19814,19978,20146,NaN,20325,20534,NaN,20739,20889
2016.2,2198.2,2382.9,2556.7,2777.4,2961.3,3142.1,3322.6,3495.1,3646.8,NaN,3820.9,3958.1,4097.8,NaN,4276.8,4400.3,NaN,4651.4,4798.1,4921.2,NaN,5108.3,5208.8,5404.2,5550.9,5687.8,NaN,5921.5,6062.9,6204.3,NaN,6391.8,6515.2,6707.5,6861.5,7005.3,7149.9,NaN,7319,7474.4,7605.4,NaN,7793.1,7919.3,NaN,8169,8321.8,8459.7,NaN,8656.2,8789.2,8956.4,9102.1,9228.8,NaN,9479.2,9616.9,9758.5,NaN,9951.2,10077,10248,10404,10554,NaN,10796,10926,11088,11288,11444,11575,NaN,11826,11968,12104,NaN,12299,12430,NaN,12690,12846,12984,13250,13414,13563,13720,NaN,13916,14070,14209,NaN,14396,14532,14725,14886,15041,15188,15348,15511,NaN,15736,15880,16025,NaN,16210,16345,16539,16706,16865,17001,NaN,17262,17418,17566,NaN,17757,17858,NaN,18139,18296,18455,NaN,18647,18782,18987,19215,19379,19518,NaN,19765,19918,20060,NaN,20261,20413,NaN,20688,20839,20977
