n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,n,n,f,a,b,l,e
2112.1,2290.2,2482.1,2627,2780.8,2928.8,3073.1,3224.6,3374.3,3488.8,NaN,3672.1,3815.3,4024.3,NaN,4104.6,4288.2,NaN,4478.8,4628.1,4840.4,NaN,4920.1,5112.3,NaN,5298.9,5446.7,5666.2,NaN,5747.1,5939,NaN,6131.6,6282.7,6503.8,NaN,6586.8,6770.2,NaN,6963.8,7116.6,7331.4,NaN,7410.2,7595.2,NaN,7787.4,7944.5,8176,8320.5,8424.9,8608.1,NaN,8801.4,8954.5,9120.8,9271.9,9385.2,9568.3,NaN,9762.5,9909.6,10127,NaN,10211,10396,NaN,10593,10744,11106,11252,11357,11544,NaN,11739,11892,12045,NaN,12192,12397,NaN,12591,12748,12991,13137,13247,13438,NaN,13636,13805,14101,14243,14354,14565,NaN,14761,14913,15081,NaN,15304,15458,15600,15782,NaN,15977,16132
2161.8,2328.3,2537.6,2680.9,2843.7,3005.1,3152.5,3301.1,3447.3,NaN,3626,3757.4,3890.9,NaN,4071.6,4171.2,NaN,4431.9,4565.8,4709,NaN,4889.7,4987.8,NaN,5255.6,5383.6,5526.7,NaN,5713.1,5816.9,NaN,6083.6,6219.7,6359.3,NaN,6552.4,6657,NaN,6917.3,7058,7192.6,NaN,7380.3,7479.7,NaN,7742.6,7872.2,8026.7,8252.5,8387,8495.5,NaN,8755.2,8880.7,9031.6,9195.9,9344.1,9472.4,NaN,9715.3,9854.4,9992,NaN,10178,10291,NaN,10543,10687,10829,11179,11321,11427,NaN,11695,11824,11972,NaN,12155,12280,NaN,12545,12687,12830,13061,13212,13340,NaN,13586,13732,13884,14168,14317,14444,NaN,14717,14853,14993,NaN,15188,15372,15533,15686,NaN,15929,16075,16216
