n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
2381.6,2535.1,2764.9,2927.8,3082.7,3226.3,3375.6,3487.3,NaN,3674.2,3819.3,4029.2,NaN,4110.2,4302.5,NaN,4487.1,4637.4,4808.3,4958.9,5065.9,5247.9,NaN,5441.4,5586.4,5786.1,NaN,5889.3,6075.4,6224.2,6332.6,6522.1,NaN,6718.9,6870.2,7073.6,NaN,7178,7366.3,NaN,7557.3,7706.1,7914.8,NaN,8014.5,8199.5,NaN,8398,8553.4,8726.5,8885.5,8991.5,9177.2,NaN,9374.2,9525.9,9731.5,NaN,9841.9,10041,NaN,10229,10398,10634,10770,10871,11059,NaN,11255,11416,11586,NaN,11747,11944,NaN,12138,12294,12682,12826,12934,13111,NaN,13309,13468
2422.5,2589.1,2816.3,2981.8,3158.4,3301.6,3445.5,NaN,3617.8,3777.3,3901.1,NaN,4081.5,4183.3,NaN,4436.7,4580.2,4721.4,4886.1,5032,5143.5,NaN,5395.5,5540.9,5669.2,NaN,5856.6,5967.8,6149.5,6299.3,6412.4,NaN,6673.4,6819.9,6956.1,NaN,7148,7254.8,NaN,7512.2,7654.1,7790.1,NaN,7982.6,8101.3,NaN,8348.9,8498.6,8634.6,8805.8,8962.7,9065,NaN,9327.4,9475.6,9612.2,NaN,9809.8,9914,NaN,10179,10331,10481,10691,10843,10946,NaN,11208,11364,11504,NaN,11706,11842,NaN,12094,12236,12381,12753,12897,13016,NaN,13263,13411,13554
