n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,n,n,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e
1989.1,2133.1,2279.1,2419.6,2567.7,2689.8,NaN,2866.3,3006.1,3218.1,NaN,3294.7,3476.6,NaN,3662,3800.4,4011.3,NaN,4089.7,4271.7,NaN,4461.5,4605.8,4822.5,NaN,4899.1,5083.2,NaN,5273.9,5418.8,5574.6,NaN,5719.6,5901.8,NaN,6090.3,6237.3,6450.6,NaN,6531.5,6727.1,NaN,6914.2,7064,7240.6,7395.4,7505.8,7698.8,NaN,7891.2,8044.4,8264.5,NaN,8343.6,8548.8,8691.5,8833.4,8945.1,NaN,9127.6,9280.4,9458.8,9611,9720,9905.9,NaN,10098,10250,10484,10628,10733,10931,NaN,11128,11277,11432,NaN,11584,11783,NaN,11976,12133,12409,12553,12658,12853,NaN,13049,13201,13355,NaN,13511,13708,NaN,13904,14051,14291,NaN,14372,14565,NaN,14764,14930,15234,15380,15484,15675,NaN,15871,16025,16299,16443,16547,16740,NaN,16937,17100,17251,NaN,17404,17624,17773,17924,18036,NaN,18236,18401,18863,19001,19141,19287,19391,NaN,19589,19750,19900,NaN,20054,20287,20436,20577,20761,20930,NaN,21111,21269,21497,NaN,21577,21796,NaN,21995,22163,22387,NaN,22470,22713,22891,23051,23198,NaN,23397,23571
2044.1,2206.8,2348.5,2496.2,2637.2,NaN,2822.2,2960.3,3086.8,NaN,3265.3,3367.1,NaN,3617.5,3757.2,3883,NaN,4058.7,4161.2,NaN,4411.7,4557.2,4688.7,NaN,4871.4,4975.1,NaN,5228.1,5375.5,5500,NaN,5680.6,5805.2,NaN,6042.4,6190.3,6318.1,NaN,6500.6,6605.8,NaN,6864.5,7013.6,7149.9,7317.4,7466.1,7596.8,NaN,7844.3,7994.7,8125,NaN,8313.8,8420.3,8614.6,8770.2,8909.5,NaN,9073.8,9230.2,9363.7,9536.3,9688.6,9796.2,NaN,10049,10198,10332,10561,10702,10809,NaN,11078,11231,11362,NaN,11546,11675,NaN,11925,12078,12213,12483,12626,12733,NaN,12998,13147,13288,NaN,13473,13602,NaN,13859,14006,14132,NaN,14343,14444,NaN,14716,14868,15014,15307,15450,15558,NaN,15820,15974,16109,16370,16515,16624,NaN,16885,17039,17184,NaN,17367,17496,17690,17850,18000,NaN,18186,18339,18488,18927,19078,19217,19360,NaN,19528,19691,19834,NaN,20019,20149,20352,20520,20652,20840,NaN,21065,21213,21354,NaN,21549,21650,NaN,21945,22100,22246,NaN,22436,22542,22779,22967,23126,NaN,23350,23500,23654
