n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,n,n,f,a,b,l,e
1987.5,2135.8,2319.2,2468.8,2617.4,2761.9,2878.9,NaN,3061.9,3207.4,3422.6,NaN,3500.8,3688,NaN,3880,4025.8,4243.6,NaN,4327.5,4523.2,NaN,4714.9,4868.8,5064.7,5220.6,5327.7,5505.6,NaN,5700.8,5847.9,5997.4,NaN,6148.1,6349.8,6498.6,6610,6794.3,NaN,6987.6,7138.3,7293.2,NaN,7443.6,7629.8,NaN,7826.4,7981.8,8187.5,8343.1,8445,8640.4,NaN,8835.1,8979.5,9236.9,9391.5,9496.9,9688.4,NaN,9883,10035,10256,NaN,10341,10533,NaN,10729,10883,11120,NaN,11198,11396,NaN,11592,11739,11979,12127,12235,12429,NaN,12626,12777,13004,NaN,13091,13325,13473,13589,13776,NaN,13976,14130,14357,14508,14623,14831,14992,15103,15310,NaN,15505,15661
2028,2200.2,2389.3,2541.8,2690.3,2834.4,NaN,3015.2,3162.6,3287.8,NaN,3467.4,3571.3,NaN,3834.3,3983.1,4109.8,NaN,4293.3,4400.1,NaN,4668.2,4817.1,4952.2,5142.8,5290.4,5400.8,NaN,5656.5,5802.4,5933.7,NaN,6111.4,6242.9,6424.2,6574.8,6681.4,NaN,6942.1,7092.8,7222.5,NaN,7406.8,7540.1,NaN,7779.6,7929.9,8072.6,8266.5,8407.3,8519.9,NaN,8789.7,8933,9066.1,9311.5,9459.2,9578.1,NaN,9838.6,9989.9,10121,NaN,10309,10419,NaN,10685,10835,10972,NaN,11165,11282,NaN,11548,11694,11824,12055,12203,12308,NaN,12582,12727,12861,NaN,13057,13174,13393,13550,13684,NaN,13931,14081,14217,14436,14586,14718,14912,15066,15202,NaN,15461,15613,15749
