n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,n,n,f,a,b,l,e
1981.7,2144.7,2315.1,2489.2,2649.9,2801.8,2954.7,3071.4,NaN,3259.4,3407,3559.9,NaN,3698,3894,NaN,4088.9,4238.2,4455,NaN,4539.5,4728.7,NaN,4927.5,5075.9,5292.9,NaN,5380.3,5573,NaN,5773.2,5925.8,6138.2,6290.2,6400.4,6624.7,6776.1,6899.7,7081.6,NaN,7278.3,7433.8,7664.4,NaN,7746.3,7928.2,NaN,8127.1,8280.8,8496.7,NaN,8578.6,8772.3,NaN,8977.2,9126.3,9347.3,NaN,9433.5,9626.6,9779.2,9884.4,10063,NaN,10262,10412,10636,NaN,10716,10910,NaN,11113,11274,11622,11768,11875,12075,NaN,12275,12434,12609,12763,12870,13068,NaN,13273,13424,13642,NaN,13724,13916,NaN,14115,14269,14499,NaN,14585,14815,14985,15101,15302,NaN,15502,15728,15876,15994,16192,NaN,16393,16546
2024.8,2194.7,2365.9,2548.3,2724.3,2874.4,3027.2,NaN,3207.2,3344.9,3487,NaN,3672,3789.3,NaN,4044.6,4178.8,4317.5,NaN,4501.6,4606.6,NaN,4874.7,5027.1,5157.9,NaN,5343.3,5469.4,NaN,5721,5874.8,6008.3,6212.2,6363.3,6488.2,6693.4,6848.5,6987,NaN,7226.7,7369,7514,NaN,7715.2,7820.2,NaN,8081.5,8229,8364.2,NaN,8546.6,8649,NaN,8914.5,9070,9206.8,NaN,9400.3,9504.4,9704.3,9848.2,9953.4,NaN,10215,10361,10496,NaN,10686,10790,NaN,11059,11207,11357,11697,11842,11948,NaN,12226,12369,12514,12688,12831,12948,NaN,13226,13378,13507,NaN,13692,13797,NaN,14068,14212,14355,NaN,14551,14658,14884,15061,15192,NaN,15454,15559,15798,15954,16088,NaN,16342,16491,16631
