n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
4097.7,4234.5,4360.8,4509.9,4649.9,4792.2,4934.8,5050.9,NaN,5228.3,5362.4,5565.5,NaN,5641.6,5821.7,NaN,6005.3,6148,6335.2,NaN,6434.3,6614.6,NaN,6803.9,6947.2,7138,NaN,7235.2,7420.9,NaN,7607.4,7747,7941.3,8086.1,8188.8,8372.2,NaN,8561,8703.3,8893.2,NaN,8994.7,9178.6,NaN,9368,9507.9,9725.9,NaN,9805.3,9998.2,NaN,10188,10331,10523,NaN,10623,10815,NaN,11005,11151,11363,11508,11608,11808,NaN,11996,12141,12321,12472,12573,12757,NaN,12949,13101,13314,NaN,13394,13580,NaN,13772,13925,14174,14312,14419,14608,NaN,14797,14943
4136.9,4275.2,4428.1,4586,4724.3,4868.8,5008.7,NaN,5173.2,5326.2,5441.8,NaN,5612.2,5713.3,NaN,5961.4,6103.8,6233.6,NaN,6405.2,6517.5,NaN,6759.8,6903.3,7030.8,NaN,7204.1,7306.3,NaN,7562.5,7706.2,7830.8,8019.8,8153.3,8266,NaN,8515.2,8661.2,8782.2,NaN,8959.1,9072,NaN,9323.5,9463.4,9589.7,NaN,9774.3,9880.4,NaN,10140,10290,10414,NaN,10595,10701,NaN,10959,11104,11232,11438,11578,11692,NaN,11951,12099,12222,12401,12544,12653,NaN,12904,13050,13183,NaN,13367,13473,NaN,13726,13875,14006,14244,14384,14499,NaN,14752,14904,15029
