n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1985.2,2138.4,2299.1,2441.9,2587.8,2753.2,2900.9,3041.3,3155.2,NaN,3342.1,3485.9,3696.8,NaN,3776.9,3959,NaN,4152.6,4304,4514.9,NaN,4596.7,4785.4,NaN,4978.4,5131,5350.7,NaN,5430.8,5617.8,NaN,5815.6,5967.8,6184.3,NaN,6269.2,6445.7,6592.9,6705,6883.7,NaN,7080.2,7229.2,7463.1,NaN,7547.8,7745.9,7899,8007.8,8197.5,NaN,8384.3,8537.8,8750.4,NaN,8834,9019.5,NaN,9215.5,9368,9588.7,NaN,9673.2,9874.2,10025,10140,10330,NaN,10527,10683,10982,11112,11221,11416,NaN,11617,11773,11985,NaN,12068,12258,NaN,12452,12628
2031.2,2196.7,2351.8,2507.4,2650.8,2815.3,2975.4,3115.5,NaN,3284.5,3434.7,3567.3,NaN,3746.6,3844.9,NaN,4104.3,4245,4383.3,NaN,4562.3,4666.1,NaN,4930.1,5069.9,5209.8,NaN,5400.4,5497.2,NaN,5763.2,5912.5,6052.3,NaN,6235.3,6338.5,6517.3,6663.5,6792.7,NaN,7029.7,7164.9,7312.2,NaN,7513.8,7614.3,7820.7,7971,8091.5,NaN,8336.8,8485.1,8616,NaN,8802.5,8902.9,NaN,9157.3,9302.2,9449.1,NaN,9639.3,9746.8,9951.7,10098,10228,NaN,10478,10614,10764,11033,11183,11293,NaN,11569,11712,11851,NaN,12035,12139,NaN,12405,12552,12708
