n,n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l
1981.8,2177.4,2502,2681.7,2885.9,3068.2,3252.1,3446.7,3610.7,3781.7,3927.9,4079.1,4228.7,4341.4,NaN,4532.9,4683.1,4899.2,NaN,4983.5,5170.2,NaN,5367.9,5519.2,5764,NaN,5846.1,6030.1,6183.8,6294.8,6475.2,NaN,6676.2,6826,7017.2,NaN,7131.4,7320.8,NaN,7525.6,7685.7,7851.6,NaN,7993.6,8195.7,8344.3,8460.3,8641.6,NaN,8840.3,8997.1,9156.2,NaN,9306.7,9492,NaN,9689.5,9842.8,10070,10223,10333,10521,NaN,10724,10876,11048,NaN,11197,11407,NaN,11608,11761,11921,NaN,12076,12278,NaN,12481,12641,12842,12995,13111,13307,NaN,13510,13686,14068,14209,14326,14507,NaN,14709,14866,15036,15189,15305,15500,NaN,15706,15870,16031,NaN,16179,16371,NaN,16572,16747,17014,17166,17283,17481,NaN,17687,17853,18096,18260,18376,18570,NaN,18772,18930,19158,NaN,19244,19446,NaN,19650
2020.8,2211,2551.2,2725.9,2933.4,3114.5,3302.8,3508.1,3685.4,3850.7,4001.6,4152.9,4303.8,NaN,4483.2,4631.4,4765,NaN,4948.5,5054.2,NaN,5320.7,5462.5,5604.8,NaN,5814,5919.1,6104.4,6255.6,6377.4,NaN,6624.2,6772.2,6904.3,NaN,7095.2,7224.3,NaN,7475.8,7618.8,7769,NaN,7958.4,8082.1,8272.9,8420.6,8549.8,NaN,8792.1,8939.4,9081.1,NaN,9269,9398,NaN,9643.7,9783.3,9929.3,10147,10295,10422,NaN,10672,10812,10961,NaN,11157,11289,NaN,11557,11707,11847,NaN,12039,12170,NaN,12425,12582,12726,12920,13071,13201,NaN,13463,13606,13772,14133,14283,14415,NaN,14661,14814,14950,15116,15265,15396,NaN,15657,15802,15955,NaN,16142,16270,NaN,16527,16671,16830,17093,17239,17379,NaN,17635,17772,17943,18175,18335,18469,NaN,18724,18874,19014,NaN,19210,19316,NaN,19603,19734
