n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,n,a,b,l,e
2729.3,2857.7,3005.3,3156.7,3292.1,NaN,3481.3,3622.7,3858.8,NaN,3939.2,4125.5,NaN,4314.1,4470.5,4902.2,5043.2,5189.5,5308.1,NaN,5496.8,5659.2
2766.5,2912.3,3082.8,3235.2,NaN,3428.9,3587.1,3710.2,NaN,3908.8,4016.8,NaN,4274,4420.9,4554.1,4967.2,5123.3,5269.1,NaN,5456,5598.9,5745.8
