n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
3979.8,4127.1,4277.3,4427.8,4590.2,4734.3,4907.3,5056.2,5198.5,5340.8,5485.9,5598.6,NaN,5784.8,5930.4,6138.4,NaN,6219.6,6403,NaN,6594.7,6740.4,6906,7060.2,7166.8,7342.6,NaN,7532.6,7677.2,7889.9,NaN,7975.2,8159.4,NaN,8343,8495.3,8711.6,8860.2,8965.1,9146.3,NaN,9339.9,9485.1,9631.9,NaN,9785.3,9980.5,NaN,10172,10314,10558,10700,10806,10986,NaN,11179,11333,11545,NaN,11628,11815,NaN,12007,12161,12376,NaN,12461,12645,12794,12907,13090,NaN,13279,13436,13657,NaN,13744,13925,NaN,14123,14268,14493,14642,14748,14935,NaN,15128,15289,15507,NaN,15591,15780,NaN,15992,16146
4025.2,4187.7,4333.3,4488.3,4670.6,4799.3,4973.5,5135.3,5277,5418.8,5562.9,NaN,5729.8,5890.1,6013.8,NaN,6188.3,6293.4,NaN,6550.4,6702.3,6821.7,6984.6,7132.9,7240.9,NaN,7486.5,7634.2,7761.6,NaN,7942.1,8049.3,NaN,8316.5,8451.9,8580.6,8792.2,8935.6,9047.9,NaN,9294.6,9441.8,9569,NaN,9745,9896.4,NaN,10126,10264,10406,10633,10770,10894,NaN,11134,11275,11413,NaN,11596,11700,NaN,11958,12097,12242,NaN,12427,12546,12721,12866,13002,NaN,13237,13377,13515,NaN,13709,13814,NaN,14075,14208,14351,14567,14715,14827,NaN,15083,15225,15370,NaN,15558,15675,NaN,15930,16076,16227
