n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,n,n,n,a,b,l,e
2943.1,3091.9,3256.2,3417.2,3578.2,3752,3908.4,4058.9,4166.5,NaN,4348.7,4492.8,4705.2,NaN,4790.4,4985.6,NaN,5169.7,5314.9,5530.7,NaN,5610.2,5790.8,5935.8,6042.9,6227.7,NaN,6420.2,6571.5,6791.3,NaN,6871.4,7058,NaN,7252.3,7404.2,7622.6,NaN,7705.8,7905.9,8064.9,8211.1,8325,NaN,8518.4,8670.1,8879.2,NaN,8974.2,9163.2,NaN,9357.8,9513.3,9726.1,NaN,9810,9989.2,10141,10246,10430,NaN,10624,10775,11001,NaN,11084,11292,11448,11601,11719,NaN,11911,12063,12384,12528,12633,12825,NaN,13025,13176,13334,NaN,13480,13702,13860,13983,14172,NaN,14369,14525,14745,NaN,14828,15044,15219,15353,15505,NaN,15702,15855,16084,NaN,16166,16375,NaN,16575,16910,17064,17217,17356,NaN,17553,17702
2975.3,3156.3,3316.5,3529,3628.5,3817.4,3978.1,4124.8,NaN,4301.8,4436.3,4576.5,NaN,4753.6,4855.3,NaN,5120.7,5256.5,5398.2,NaN,5581.7,5685.2,5863.8,6007.2,6128.2,NaN,6371.1,6510.8,6654.8,NaN,6840.2,6944,NaN,7207.2,7349.3,7485.8,NaN,7672.2,7773.4,7977.8,8141.9,8286.9,NaN,8474.9,8618.5,8754.7,NaN,8941,9044.1,NaN,9309.8,9447.2,9593,NaN,9777.4,9885.2,10062,10211,10318,NaN,10581,10726,10856,NaN,11051,11159,11361,11529,11681,NaN,11865,12008,12146,12457,12602,12710,NaN,12977,13129,13259,NaN,13444,13574,13779,13940,14073,NaN,14320,14473,14612,NaN,14798,14900,15110,15291,15434,NaN,15656,15806,15939,NaN,16136,16239,NaN,16527,16670,16985,17142,17293,NaN,17506,17650,17787
