n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b
1986.8,2173.2,2342.4,2493.2,2644.1,2799.3,2946.6,3082.8,NaN,3271.1,3412.7,3623.9,NaN,3705,3888.9,NaN,4080.7,4225,4445.2,NaN,4524.8,4706.2,4855.3,4958.5,5139.1,NaN,5330.6,5483.2,5680.1,NaN,5778.8,5957.8,6107.9,6215,6403.7,NaN
2028.3,2229.6,2394.7,2555.5,2716.3,2873.5,3022.4,NaN,3225.5,3370.6,3495.8,NaN,3673.6,3781.7,NaN,4039.3,4180.8,4311.5,NaN,4496.3,4603.6,4782.8,4926.2,5037,NaN,5288.2,5436.4,5570.2,NaN,5748,5855.8,6034.1,6182.7,6290.8,NaN,6702.7
