n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
3447.5,3642.2,3780.2,3925.8,4060,4203.3,NaN,4382.2,4517.5,4722.8,NaN,4803.5,4981.9,NaN,5167.7,5307.8,5521.3,NaN,5598.4,5785.9,NaN,5976.6,6117.8,6312,NaN,6413.8,6600.5,NaN,6790.7,6934.9,7129.7,NaN,7227.8,7422.7,NaN,7603.4,7749,7929.5,8073.7,8180.7,8359.8,NaN,8546.3,8690.8,8882.3,NaN,8983.9,9177.8,9297.9,9439.8,9583.2,9705.2,NaN,9894.3,10042,10241,NaN,10344,10534,NaN,10727,10878,11148,11291,11394,11577,NaN,12438,12577,12713,12823,NaN,13012,13156,13366,NaN,13449,13628,NaN,13820,13972,14188,NaN,14267,14477,NaN,14663,14825,14980,NaN,15125,15317,NaN,15512,15656,15873,16024,16139,16367,16584,16729,16880,17015,NaN,17202,17350,17569,NaN,17655,17843,NaN,18042,18204,18410,NaN,18510,18711,NaN,18906,19066,19262,19409,19518,19701,NaN,19902,20062,20246,NaN,20367,20583,NaN,20773,20929,21087,NaN,21243,21436,NaN,21643,21798,22085,22222,22331,22516,NaN,22718,22868
3496.3,3704.2,3852.2,3997.2,4136.2,NaN,4339,4476.9,4599.6,NaN,4770.4,4873.5,NaN,5121.8,5266.5,5394.7,NaN,5571.2,5674.3,NaN,5931.2,6076.8,6200.7,NaN,6379,6488.7,NaN,6744.6,6889,7018.7,NaN,7193.9,7301.1,NaN,7558.7,7702.9,7831.6,8003.2,8145.3,8278.6,NaN,8501,8652.2,8777.4,NaN,8950.6,9060.2,9226.9,9348.8,9518.2,9660.7,NaN,9850.5,9996.4,10130,NaN,10314,10418,NaN,10681,10829,10964,11225,11364,11472,NaN,11741,12496,12647,12785,NaN,12966,13105,13238,NaN,13413,13532,NaN,13772,13911,14056,NaN,14235,14339,NaN,14616,14758,14905,NaN,15089,15215,NaN,15465,15607,15742,15949,16096,16229,16421,16653,16804,16955,NaN,17155,17295,17435,NaN,17617,17728,NaN,17995,18139,18284,NaN,18475,18583,NaN,18857,19003,19149,19336,19482,19589,NaN,19850,20003,20142,NaN,20330,20453,NaN,20721,20865,21015,NaN,21202,21331,NaN,21594,21719,21881,22151,22296,22407,NaN,22666,22814,22950
