n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e
1982.5,2138.4,2292.5,2443.3,2591.1,2730.5,2870.8,2990.2,NaN,3177.4,3314,3523.5,NaN,3603.8,3793.4,NaN,3980.9,4130,4343.2,NaN,4422.7,4611.2,NaN,4801.4,4944.8,5160.8,NaN,5252.8,5450,NaN,5643.1,5799.3
2016.3,2176.1,2353.3,2545.8,2663.8,2805.7,2949.8,NaN,3135,3277.1,3400.1,NaN,3574.3,3673.5,NaN,3936.5,4081,4211.7,NaN,4391.5,4491.7,NaN,4754.9,4895.9,5025.9,NaN,5208.2,5349.9,NaN,5596.3,5735.8,5883.3
