n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n
1979.4,2120.8,2292.8,2438.1,2587.1,2727,2869,3003.5,3112.2,NaN,3294.6,3433.8,3646.7,NaN,3726.3,3908,NaN,4096.8,4243,4433.4,NaN,4533.4,4718.3,NaN,4912.1,5058.7,5266.7,NaN,5362.5,5558.3,NaN,5748.1,5892.9,6092.2,NaN,6196.8,6370.4
2017.2,2174.1,2341.9,2503.2,2661.5,2804.1,2947.6,3080.5,NaN,3241.5,3393.3,3517.9,NaN,3694.2,3804,NaN,4054.7,4201.1,4323.5,NaN,4503.1,4610.9,NaN,4865.7,5015.5,5142.4,NaN,5332.4,5446.2,NaN,5705.2,5852.6,5976.4,NaN,6162.3,6277.4,6442.9
