n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,n,n,f,a,b,l,e
1989.5,2141.8,2280.2,2422.9,2568.4,2686.3,NaN,2862.2,3002.1,3214.2,NaN,3292.6,3475.9,NaN,3662.7,3809,4010.6,NaN,4106.4,4288,NaN,4475.8,4624.1,4823,NaN,4921.2,5107.4,NaN,5295.3,5441.8,5674.3,5814.2,5918.8,6100.2,NaN,6289.5,6419.9,6675.2,6816.5,6936.5,7112.1,NaN,7305.5,7450.6,7664.7,NaN,7746.6,7926.3,NaN,8118.4,8272.7,8870.2,9000.9,9146.8,9258.2,NaN,9440.1,9586.8,9799.6,NaN,9878.9,10064,NaN,10259,10405,10568,NaN,10716,10909,NaN,11101,11247,11471,NaN,11551,11753,11897,12006,12192,NaN,12387,12542,12700,NaN,12850,13072,13225,13430,13593,13745,13878,NaN,14069,14219,14436,NaN,14522,14741,NaN,14941,15090,15309,NaN,15395,15586,NaN,15783,15941,16192,16336,16439,16631,NaN,16826,16982,17672,17805,17952,18068,NaN,18263,18409,18618,NaN,18712,18895,NaN,19091,19242,19487,19636,19739,19952,20103,20233,20423,NaN,20621,20783
2028.3,2203.2,2350.4,2499.8,2638.4,NaN,2809.4,2964.6,3094.7,NaN,3261.4,3363.1,NaN,3620.1,3770.5,3895.3,NaN,4073.7,4183.6,NaN,4434.1,4583.2,4711.8,NaN,4887.4,4996.5,NaN,5252.9,5401.7,5527.6,5747.1,5888.7,5996.1,NaN,6244.2,6383.1,6494.5,6745.5,6887.3,7032.3,NaN,7250.6,7402.4,7529.1,NaN,7711.8,7818.5,NaN,8070.8,8213.9,8354.7,8928.4,9075.5,9218.8,NaN,9386.1,9533.9,9668.2,NaN,9847.8,9952.5,NaN,10210,10356,10490,NaN,10679,10807,NaN,11056,11203,11337,NaN,11520,11630,11827,11969,12098,NaN,12340,12487,12625,NaN,12814,12947,13139,13306,13503,13670,13820,NaN,14023,14175,14302,NaN,14487,14598,NaN,14895,15041,15174,NaN,15364,15465,NaN,15737,15882,16023,16262,16405,16514,NaN,16779,16930,17066,17733,17881,18026,NaN,18216,18364,18492,NaN,18682,18784,NaN,19045,19187,19325,19560,19704,19815,20020,20179,20324,NaN,20572,20724,20867
