n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l
1984.4,2118.5,2290,2433,2593.8,2752,2901.1,3048.8,3162.6,NaN,3351.1,3493.2,3707.6,NaN,3787.5,3975.5,NaN,4160.2,4306.7,4525.6,NaN,4606.5,4792.2,NaN,4987,5138.8,5337.2,NaN,5438.9,5625.9,NaN,5819.5,5969.7,6191.6,6342.1,6451,6632.4,NaN,6827.7,6979.1,7197.5,NaN,7279,7467.7,NaN,7665.5,7817.1,8018.6,NaN,8115,8318.3,8468.5,8618.6,8769.2,8872.3,NaN,9065.4,9215.1,9416.8,NaN,9517.8,9703.8,9858.3,9973.5,10164,NaN,10362,10513,10715,NaN,10819,11005,11162,11275,11482,11650,11764,11954,NaN,12155,12306,12518,NaN,12619,12813,NaN,13011,13161,13371,NaN,13473,13691,13851,13996,14148,14302,14382,NaN,14589,14731,14934,NaN,15040,15228,NaN,15425,15599,15856,16020,16131,16326,NaN,16560,16709,16915,NaN,17026,17237,17396,17506,17735,17908,18067,18210,18317,NaN,18515,18679,18885,NaN,18990,19193,NaN,19401,19562,19774,NaN,19876,20089,20277,20413,20603,NaN,20802,20972,21140,21310,21428,21640,NaN,21848
2033.2,2192.6,2347,2498.2,2656.6,2816.2,2977.6,3123.1,NaN,3301.3,3450.7,3578.3,NaN,3757.3,3855.5,NaN,4113,4260.4,4392.3,NaN,4575.8,4681.8,NaN,4941.3,5089.5,5227.4,NaN,5410.4,5514.2,NaN,5773.4,5921.1,6056.2,6266.9,6418.1,6527.1,NaN,6777.5,6934.3,7067.2,NaN,7250.8,7355.3,NaN,7615.5,7769.6,7902,NaN,8086.5,8193.4,8393.6,8542.9,8699.2,8841,NaN,9009.2,9171.2,9300.8,NaN,9489.1,9601.7,9784.8,9936,10078,NaN,10316,10473,10617,NaN,10786,10898,11083,11237,11368,11556,11728,11843,NaN,12105,12262,12391,NaN,12590,12696,NaN,12963,13116,13250,NaN,13441,13549,13760,13934,14075,14236,14353,NaN,14526,14668,14816,NaN,15007,15118,NaN,15387,15531,15686,15936,16094,16207,NaN,16480,16667,16793,NaN,16992,17103,17317,17474,17587,17805,17991,18151,18287,NaN,18454,18626,18780,NaN,18959,19069,NaN,19349,19498,19651,NaN,19842,19959,20170,20357,20515,NaN,20759,20909,21074,21216,21392,21510,NaN,21794,21951
