n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l
3004.7,3158,3475.9,3623,3769.7,3912.8,4053.8,4192.1,4294.6,NaN,4482.7,4623.8,4830.5,NaN,4908.9,5093,NaN,5276.8,5420.9,5633.8,NaN,5711.2,5898.1,NaN,6089.4,6234.1,6451.2,NaN,6531.1,6720.7,NaN,6911.4,7068.3,7284,NaN,7363.2,7550,NaN,7743.5,7896.7,8092.2,8239.8,8344.1,8528.1,NaN,8723.8,8875,9094.7,NaN,9179,9374.2,NaN,9568,9718.8,9937.9,NaN,10019,10225,NaN,10417,10575,10774,10925,11030,11219,NaN,11418
3037,3192.3,3529.3,3685.1,3837.8,3984.8,4127.4,4263.1,NaN,4430.2,4581.7,4704.6,NaN,4880.6,4977.3,NaN,5230.2,5376.1,5504.8,NaN,5684.5,5787.1,NaN,6043.8,6183.8,6319.8,NaN,6502,6612.9,NaN,6865.6,7012.4,7151.1,NaN,7334.6,7444,NaN,7692.4,7844.1,7980,8169.7,8312.8,8425.8,NaN,8676.8,8824.8,8958,NaN,9147.5,9250.7,NaN,9513.9,9664.1,9802.4,NaN,9988.5,10097,NaN,10372,10510,10656,10848,10999,11103,NaN,11366,11520
