n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n
1985.7,2145.6,2308.2,2456.4,2602.1,2744.5,2887.8,2997.5,NaN,3184.9,3329.7,3535.9,NaN,3614.2,3800.8,NaN,3992.8,4136.2,4335.7,NaN,4428.6,4620.2,NaN,4810.7,4956.5,5187.8,NaN,5272,5474.7
2021.1,2194.9,2375,2533.2,2678.9,2823.8,2965.1,NaN,3133.3,3283.6,3411.3,NaN,3588.2,3693.8,NaN,3949.9,4096.3,4219.2,NaN,4400.7,4510.9,NaN,4764.8,4912.6,5039.4,NaN,5240.4,5348.9,5551.6
