n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,n,n,f,a,b,l,e
2319.9,2479.8,2626.2,2918.5,3067.7,3215.2,3362.5,3482.8,NaN,3665.3,3809.6,4019.2,NaN,4098.9,4284.4,NaN,4477.5,4623.9,4843.9,NaN,4924.5,5112.3,NaN,5305.8,5454.6,5602.2,NaN,5756.1,6024.9,6210.2,6356.9,6481.9,6663.1,NaN,6855.8,7006.5,7220.3,NaN,7306.1,7490.9,NaN,7688.2,7836.8,8053.7,8194.3,8305.3,8487.7,NaN,8684.4,8860.5,9071.8,NaN,9153.9,9354.9,NaN,9551.1,9701.3,9923.6,NaN,10006,10214,10364,10482,10667,NaN,10746,11009,11225,NaN,11311,11518,NaN,11716,12006,12153,12258,12454,NaN,12649,12813
2358.3,2526.6,2806.8,2985.9,3146.8,3293.5,3443.2,NaN,3613.7,3772.3,3897.2,NaN,4070.5,4178.1,NaN,4432.4,4581.7,4709.2,NaN,4896.5,5000.9,NaN,5260.8,5409.9,5539.3,NaN,5720.8,5836.7,6148.5,6281.6,6432.7,6569,NaN,6809.2,6941.5,7089.8,NaN,7273.8,7378.1,NaN,7642.1,7775.6,7931.7,8125.4,8263.7,8372.3,NaN,8637.7,8775.2,8936,NaN,9125,9222.8,NaN,9505.4,9645.8,9783.8,NaN,9975.7,10076,10283,10444,10572,NaN,10716,10947,11095,NaN,11276,11383,NaN,11668,11815,12075,12236,12348,NaN,12599,12738,12892
