n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
3189.8,3356.1,3531.6,3717.8,3887,4052,4201.9,4349.9,4472.4,NaN,4657.2,4803.8,5015.3,NaN,5096.6,5281.4,NaN,5479.6,5627.5,5843.3,NaN,5923.6,6111.2,NaN,6307.5,6460.6,6624.5,6779,6885.2,7070.4,NaN,7268.9,7419.2,7572.7,NaN,7720.6,7900.2,8053.4,8158.4,8346.7,NaN,8543.2,8699.1,8870.3,9033.8,9138.1,9323.7,NaN,9519.4,9669.8,9887.5,NaN,9968.4,10163,NaN,10357,10509,10739,NaN,10824,11037,NaN,11233,11394,11626,NaN,11709,11906,NaN,12103,12261,12478,12636,12746,12933,NaN,13131,13298,13515,NaN,13597,13796,NaN,14001,14155,14311,NaN,14478,14680,NaN,14875,15038,15261,15411,15517,15706,NaN,15905,16067,16270,16435,16543,16755,NaN,16955,17106,17359,NaN,17444,17640,NaN,17841,18016
3234.9,3409.5,3586.6,3765.3,3950.1,4127.2,4276.3,4425.4,NaN,4603.5,4746.3,4884.3,NaN,5063.5,5167.6,NaN,5431.3,5581.2,5711,NaN,5892.5,5998.7,NaN,6256.5,6408.5,6542.6,6704.9,6851.4,6961,NaN,7216.8,7367.2,7502,NaN,7685.3,7809.4,7979.3,8124.8,8231.5,NaN,8492,8645,8782.6,8950.3,9102.9,9213.7,NaN,9470.6,9615.9,9754.7,NaN,9940.5,10045,NaN,10311,10454,10589,NaN,10791,10900,NaN,11188,11331,11477,NaN,11676,11782,NaN,12056,12202,12346,12558,12711,12829,NaN,13085,13237,13381,NaN,13568,13672,NaN,13952,14098,14239,NaN,14432,14570,NaN,14828,14982,15121,15331,15486,15592,NaN,15856,15994,16147,16351,16511,16616,NaN,16899,17045,17193,NaN,17409,17520,NaN,17787,17940,18097
