n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,n,f,a,b,l,e,n,n,f,n,n,a,b,l,e,d,g,f,a,b,l,e
1988.4,2110.6,2269.2,2416.7,2544.2,2700.8,2844.2,2960.8,NaN,3142.8,3291.9,3502.5,NaN,3582.1,3767.6,NaN,3962.4,4117,4315,NaN,4408,4599.7,NaN,4791.6,4947.3,5137.3,5287.1,5390.8,5580.2,NaN,5775.5,5927.2,6128.2,NaN,6227.1,6427.5,NaN,6624.8,6775.5,6998.6,NaN,7080.5,7277.8,7429.3,7537.8,7735,NaN,7937.3,8094,8322.2,NaN,8405.1,8619.6,8785,8933,9051.1,NaN,9246.7,9396.4,9628.7,NaN,9707.7,9906.2,NaN,10102,10256,10412,10671,10829,10943,11161,NaN,11369,11520,11724,11873,11983,12196,12366,12513,NaN,12711,12885,13080,NaN,13182,13399,NaN,13595,13762
2035,2173,2327.6,2473.1,2611.6,2773.4,2914.5,NaN,3092.7,3234.7,3374.1,NaN,3550.7,3653.7,NaN,3914.3,4052.4,4197.2,NaN,4375.6,4479.1,NaN,4742.7,4881,5030.5,5215.2,5359.6,5463.8,NaN,5728.5,5874.2,6012.2,NaN,6194.2,6292.5,NaN,6574,6722,6861.2,NaN,7049.4,7150.9,7349.9,7501.7,7628,NaN,7886.8,8033.3,8173.3,NaN,8372.9,8476.4,8688.4,8858.5,9007.2,NaN,9201,9348.1,9481.3,NaN,9679.7,9785.1,NaN,10053,10205,10343,10531,10745,10905,11024,NaN,11322,11475,11608,11806,11947,12065,12266,12446,NaN,12666,12804,12967,NaN,13147,13256,NaN,13551,13687,13846
