n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
2181.1,2330,2471.2,2616.7,2756,2898.7,3024.7,NaN,3213.6,3355.5,3563.4,NaN,3643.7,3827.4,NaN,4018.4,4164.1,4379.5,NaN,4466.1,4634.7,4782,4884,5065.8,NaN,5257.5,5412.8,5632.3,NaN,5712.6,5897.9,NaN,6090.1,6240,6475.6,NaN,6555.1,6751,NaN,6947.9,7102.3,7325,NaN,7411.6,7602.9,NaN,7799.6,7962.7,8221.7,8366.5,8477.1,8664.4,NaN,8861.3,9019.8,9235.4,NaN,9318,9521.3,NaN,9722,9889.8
2217.3,2387.9,2539.1,2690.8,2829.9,2977.2,NaN,3170.2,3317.2,3440.2,NaN,3611.8,3717.8,NaN,3970,4122.8,4250.9,NaN,4430.6,4546.7,4711.1,4853.5,4961.4,NaN,5214.7,5365.5,5503.1,NaN,5683.7,5787.4,NaN,6045.4,6193.7,6328.3,NaN,6522.6,6632,NaN,6898.7,7048.7,7186.3,NaN,7377.2,7490.6,NaN,7753.4,7906.3,8049.6,8297.8,8441.4,8553.9,NaN,8815.8,8960.1,9102.8,NaN,9285,9400.1,NaN,9672.2,9828.7,9979.5
