n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,n,n,f,a,b,l,e
1979.2,2126.4,2298.9,2459.5,2607.7,2727.6,2871.2,3013.3,3118.8,NaN,3312.7,3455,3668.6,NaN,3747.6,3927.6,NaN,4120.7,4266.6,4479.8,NaN,4557.5,4729.8,4878.9,4983,5173.3,NaN,5367.7,5515,5737.2,NaN,5817.6,5999.3,NaN,6196.6,6346.6,6562.8,NaN,6648.5,6856.3,NaN,7051.2,7204.2,7374.8,7528.2,7633.2,7825.4,NaN,8023.3,8176.2,8393.9,8541.1,8644.8,8839.4,NaN,9035.9,9185.6,9407.1,NaN,9489.2,9681.8,NaN,9883.5,10044,10264,NaN,10353,10550,NaN,10749,10918,11102,11253,11377,11622,11777,11887,12073,NaN,12269,12435
2024.9,2168,2355.4,2517.7,2663.4,2797.2,2946.2,3085.6,NaN,3254.8,3402,3538.9,NaN,3716.1,3817.6,NaN,4073.3,4216.7,4347.5,NaN,4529.2,4629,4800.4,4950.3,5054.7,NaN,5321.2,5468.7,5595.3,NaN,5788.1,5890.8,NaN,6148.1,6294.1,6426.6,NaN,6613.3,6739.1,NaN,7005.2,7151.4,7288,7449.7,7599.5,7705.8,NaN,7975.4,8124.9,8258.8,8469.4,8612.6,8717,NaN,8981.3,9127.5,9268.2,NaN,9456.6,9559.8,NaN,9834.6,9963.1,10129,NaN,10315,10429,NaN,10703,10851,10999,11178,11324,11474,11687,11851,11978,NaN,12226,12369,12518
