n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,n,a,b,l,e,d,g,f
1987.7,2115.7,2252.8,2399.7,2538.7,2677.7,2776.9,NaN,2957.1,3098.5,3306.5,NaN,3385.1,3563.7,NaN,3750.5,3890.3,4025.5,4101.1,4183,4370,NaN,4560.8,4706,4916.7,NaN,4997.7,5218,5374.2,5524.3,5660.1,NaN,5855.8,6006.9,6226,NaN,6306.2,6516.4,6667.5,6824.8,6968.2,7123.9,7237.3,NaN,7418.9,7569,7773.8,NaN,7868.1,8055.4,NaN,8249.3,8406,8730,8874.3,8982.1,9171.9,NaN,9361.9,9510.7,9658.3,9926.5,10079,10229,10364,NaN,10555,10699,10919,NaN,11001
2025.7,2168.3,2325.6,2465.7,2608.8,2738.9,NaN,2901.7,3053.6,3179.1,NaN,3350.6,3453.5,NaN,3703,3842.7,3969.6,4037.6,4144.9,4240.7,NaN,4511.5,4645.1,4786.2,NaN,4965.4,5072.5,5282.8,5447.2,5596.3,NaN,5809.8,5953.3,6090.8,NaN,6275.7,6376.6,6581.9,6740.2,6904.2,7042.8,7198.2,NaN,7374.2,7517.8,7651.4,NaN,7835.4,7941.3,NaN,8202.9,8348.5,8485.2,8797,8945.2,9071.9,NaN,9315.6,9461.1,9586.1,9773.8,9998.4,10158,10307,NaN,10510,10656,10785,NaN,10968,11114
