n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1979.3,2471.1,2621,2766,2913.7,3054.2,3191.9,NaN,3375.7,3516.6,3731.4,NaN,3812.3,3998,NaN,4193.2,4346.2,4563.1,NaN,4643.7,4839.7,NaN,5036.5,5189.6,5352.1,NaN,5496.6,5681.5,5829.5,5934.6,6119.7,NaN,6314.6,6467.9,6633.9,6787.8,6897.8,7083.3,NaN,7281.9,7444.3,7606.1,NaN,7753.3,7949.8,NaN,8150.5,8311.1,8567.4,8714.5,8823.2,9014.9,NaN,9212.6,9371.9,9590.2,NaN,9673.8,9869.8,NaN,10072,10232
2009.6,2522.2,2679.7,2841.7,2985.8,3127.8,NaN,3328,3471.4,3601,NaN,3778.7,3877.6,NaN,4141.6,4289.2,4429.4,NaN,4611.2,4713.6,NaN,4987.2,5128.9,5271.1,NaN,5460.4,5581.1,5753.7,5898.7,6002.5,NaN,6269.2,6404.4,6551.5,6712.2,6859.1,6991.3,NaN,7235.4,7384,7527.8,NaN,7716.3,7846.8,NaN,8103.5,8238.5,8392.8,8641.4,8785.1,8912.7,NaN,9161.8,9306.8,9452.6,NaN,9639.1,9743.9,NaN,10020,10157,10316
