n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
1987.2,2124.6,2268.1,2415.5,2550.2,2690.9,2835.7,2938.4,NaN,3128.4,3263.5,3471,NaN,3548.6,3726.5,NaN,3912.6,4048.5,4258.3,NaN,4335.5,4523.7,4668.8,4775.3,4942.7,NaN,5130,5274.5,5486.9,NaN,5572.6,5749.6,NaN,5939.6,6085.6,6280.3,NaN,6381.1,6556.2,NaN,6746.6,6893.5,7061.6,7212.1,7320.1,7506.8,NaN,7696.2,7844.1,8041,NaN,8144.2,8336.7,NaN,8524.2,8674.9,8865.5,9011.2,9116.9,9307.1,NaN,9498.6,9646.2,9859.4,NaN,9943.2,10147,10293,10431,10553,NaN,10743,10887,11083,NaN,11185,11382,NaN,11577,11730,11936,NaN,12039,12276,12436,12583,12729,12838,NaN,13032,13183,13389,NaN,13495,13721,13878,14023,14154,NaN,14345,14494,14702,14856,14963,15163,NaN,15360,15510,15741,NaN,15828,16064,16219,16352,16499,16654,16794,NaN,16989,17143,17298,NaN,17460,17655,NaN,17852,18014
2046,2185.6,2328.7,2470.4,2618,2763.4,2902.8,NaN,3072,3226.3,3346.5,NaN,3515.7,3622.6,NaN,3867.2,4010,4128.1,NaN,4308.2,4410.9,4600.4,4740.8,4848.6,NaN,5086.8,5233.2,5357.6,NaN,5536.4,5642.8,NaN,5894.8,6040.9,6167,NaN,6347.8,6452.1,NaN,6700,6852,6976.3,7140.6,7285.7,7395.8,NaN,7653,7798,7930.6,NaN,8109.2,8219.2,NaN,8478.2,8626.8,8758.2,8937.9,9081.1,9195.1,NaN,9452,9606,9732.2,NaN,9908.4,10018,10217,10366,10509,NaN,10700,10841,10988,NaN,11157,11260,NaN,11529,11679,11818,NaN,12004,12116,12340,12513,12658,12802,NaN,12984,13133,13270,NaN,13461,13569,13796,13952,14096,NaN,14302,14449,14597,14776,14931,15039,NaN,15312,15468,15597,NaN,15792,15904,16128,16294,16430,16579,16737,NaN,16945,17091,17228,NaN,17414,17561,NaN,17805,17954,18100
