n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1988,2147,2296.5,2443,2588,2727.8,2837.2,NaN,3018.1,3159.1,3367.2,NaN,3447.2,3626.4,NaN,3813.9,3964,4120.9,4266.6,4370.6,4557.9,NaN,4748.4,4891.5,5104.9,NaN,5190.3,5361.8,5511.5,5616.4,5803.4,NaN,5997.2,6139.8,6364.1,NaN,6445.3,6628.7,NaN,6821.5,6970.4,7117.8,NaN,7275.8,7480.2,7623.7,7752,7935.9,NaN,8130.8,8295.9,8541.2,8732.3,8865.8,8972,9161.9,NaN,9352.7,9511.8,9746.2,NaN,9832.8,10022,NaN,10218,10379
2036,2200.7,2351.4,2519,2664.6,2800.5,NaN,2960.6,3114.9,3243.5,NaN,3418.2,3526,NaN,3770.1,3917.9,4045.3,4202.2,4340.2,4450.9,NaN,4703.2,4848.8,4975.7,NaN,5157,5272.2,5435.8,5580.8,5697.1,NaN,5950.8,6093.5,6222.2,NaN,6415.3,6527.2,NaN,6774.9,6923.4,7055.1,NaN,7236.6,7379,7556,7700,7844.4,NaN,8084.4,8233.9,8380.2,8586.3,8790.9,8940,9053.8,NaN,9310.5,9455.9,9598.1,NaN,9797.3,9915.8,NaN,10171,10309,10466
