n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
3279.1,3439.2,3613.2,3754.9,3915.6,4100.9,4237.2,4384.9,4525.2,4628.6,NaN,4815,4958.4,5168.9,NaN,5247.8,5425.1,NaN,5614.6,5761.2,5959.2,NaN,6048.8,6225.7,6371,6472.3,6654.8,NaN,6845.8,6990,7166.5,NaN,7284.3,7484.5,NaN,7676.5,7820.3,8040.1,NaN,8126.1,8308.1,NaN,8504,8652.7,8906.8,9035,9144.6,9331.6,NaN,9528.4,9677.2,9896.2,NaN,9979.5,10164,NaN,10361,10520,10673,NaN,10827,11017,NaN,11212,11356,11877,12016,12155,12303,12411,NaN,12596,12749,12944,NaN,13048,13236,NaN,13434,13584,13790,NaN,13887,14080,NaN,14272,14430,14660,14800,14910,15094,NaN,15299,15448,15655,NaN,15747,15940,NaN,16134,16295,16455,16609,16720,16912,NaN,17106,17276
3318.4,3487.8,3659.7,3814.9,3984,4158.7,4310.9,4461.6,4600,NaN,4768.8,4916.2,5040.4,NaN,5218.5,5322.2,NaN,5571,5720.5,5843.6,NaN,6020.6,6124.8,6298.6,6435.7,6549.8,NaN,6801.3,6946.6,7073.6,NaN,7254.7,7354.6,NaN,7629.7,7779.9,7905.1,NaN,8090.6,8201.3,NaN,8458.6,8604.7,8736.7,8958.2,9110.1,9221.4,NaN,9480.3,9628.7,9762.7,NaN,9947.7,10059,NaN,10315,10461,10605,NaN,10791,10929,NaN,11164,11299,11441,11943,12088,12235,12375,NaN,12542,12702,12833,NaN,13021,13124,NaN,13390,13540,13671,NaN,13857,13966,NaN,14229,14350,14516,14720,14875,14988,NaN,15247,15400,15533,NaN,15720,15825,NaN,16089,16221,16380,16529,16684,16801,NaN,17064,17217,17361
