n,n,n,n,n,n,a,b,l,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
2819.4,2968.4,3114.8,3259,3393.6,3532.6,3647.8,NaN,3825.1,4168.5,NaN,4249.2,4430.5,NaN,4616.9,4756.6,4968.1,NaN,5050.8,5230.1,NaN,5419.1,5562.2,5772.8,NaN,5852.4,6032.5,NaN,6221.4,6362.4,6555.8,NaN,6654.2,6845.1,6989,7094.3,7267.7,NaN,7455.8,7602.8,7795.1,NaN,7899.4,8087.7,NaN,8278.5,8419.8,8594.2,8741.9,8850.1,9028.2,NaN,9219.5,9368.1,9588.1,NaN,9669.5,9853.9,NaN,10049,10197,10415,NaN,10495,10690,NaN,10884,11029,11263,NaN,11346,11547,NaN,11736,11882,12095,12240,12349,12536,NaN,12729,12877,13090,NaN,13177,13376,13524,13633,13818,NaN,14010,14164,14382,NaN,14470,14679,14835,14952,15147,NaN,15342,15495
2875,3033.9,3187.7,3333.9,3470.5,3606.5,NaN,3772.5,4047.4,NaN,4218.7,4325.4,NaN,4573,4718.4,4837.2,NaN,5020.3,5126.6,NaN,5372.5,5521.7,5646.5,NaN,5823.8,5929.9,NaN,6177.8,6321.8,6446.1,NaN,6622.3,6734.5,6916.3,7058,7190.1,NaN,7410.2,7561.9,7689,NaN,7866,7983.3,NaN,8232.2,8380.7,8503.8,8671.8,8812.1,8927.6,NaN,9174.7,9326.6,9450.6,NaN,9637.2,9748.5,NaN,10003,10156,10279,NaN,10467,10569,NaN,10838,10986,11112,NaN,11313,11423,NaN,11690,11838,11968,12174,12313,12449,NaN,12687,12835,12961,NaN,13144,13251,13452,13597,13709,NaN,13968,14114,14247,NaN,14435,14555,14750,14909,15032,NaN,15296,15448,15581
