n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g
1065.5,1805.7,1972.7,2206,2438.1,2589.7,2740,2885,3001.2,NaN,3185.1,3326.9,3539.1,NaN,3622.3,3808.3,NaN,4004.2,4157.9,4314,NaN,4470.7,4658.6,NaN,4851.9,5003.2,5205.2,5357.2,5461.2,5643.5,NaN,5842.8,5992.5,6145.9,NaN,6308.8,6503,NaN,6700.3,6850.4,7077.8,NaN,7158,7356.6,NaN,7550.2,7713.2,7930.4,8084.6,8191.2,8381.1,NaN,8578.6,8727.1,8879.6,NaN,9033.1,9222.5,NaN,9417.4,9569.5,9791,9946.9,10056,10247,NaN,10449,10609,10832,NaN,10914,11114,NaN,11312,11482,11888,12032,12147,12333,NaN,12536,12688,12852,NaN
1099.3,1843.3,2010.9,2241.2,2496.3,2662.8,2814.8,2957.7,NaN,3140.8,3289.7,3409.6,NaN,3584,3693.5,NaN,3956.6,4111.4,4242.5,NaN,4426,4566.2,NaN,4809.3,4958,5087.4,5281.3,5424.2,5541.2,NaN,5796.1,5944.6,6074.8,NaN,6260.4,6399.7,NaN,6652.6,6803.6,6935.2,NaN,7128.1,7240.4,NaN,7503.8,7660.9,7798.3,8006,8156.3,8263.6,NaN,8532.6,8682,8811.8,NaN,8996.7,9123.8,NaN,9370.5,9513.5,9657.4,9870.9,10020,10152,NaN,10401,10559,10694,NaN,10883,10988,NaN,11263,11413,11566,11957,12106,12248,NaN,12486,12638,12775,NaN,12965
