n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e
2353.7,2542.2,3509.2,3664,3837.8,3980.2,4127.4,4280.6,4429,4572.7,4696.7,NaN,4883,5030.8,5246.4,NaN,5325.8,5523.8,NaN,5713.1,5862.2,6079.7,NaN,6163.4,6352.8,NaN,6548.6,6703.8,6893.9,7042.9,7143,7328.2,NaN,7525.8,7676.7,7898.1,NaN,7979.8,8178,8332.3,8451.7,8629.6,NaN,8826.2,8978.1,9198.6,NaN,9283.6,9483.5,9640.6,9753.6,9943,NaN,10142,10299,10478,NaN,10606,10828,10992,11132,11264,NaN,11463,11619
2399.7,2583.8,3551.8,3700.1,3898.2,4052,4199.8,4354.9,4503.6,4652.2,NaN,4836,4976.2,5113.6,NaN,5293.9,5395.4,NaN,5662.5,5805,5944,NaN,6130.3,6238.1,NaN,6502.6,6638.7,6786.3,6968.4,7112.8,7213.2,NaN,7478.8,7620.5,7761,NaN,7949.8,8060.3,8255.2,8407.7,8546.3,NaN,8779.9,8921.2,9062.6,NaN,9250.2,9358.5,9564.6,9712.9,9847,NaN,10093,10243,10380,NaN,10569,10698,10896,11066,11208,NaN,11417,11564,11706
