n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,n,n,n,n,n,n,n,a,b,l,e,n,n,n,a,b,l,e,d,g,f,a,b,l,e
1995.1,2946.8,3740,3892.3,4054.3,4212.5,4680.2,4894,5035.9,5175.4,5305.8,NaN,5493.2,5630.9,5838,NaN,5913.8,6094.8,NaN,6281.9,6423.7,6635.3,NaN,6712.7,6899.6,NaN,7089.9,7236.4,7414.7,NaN,7525.9,7710.5,NaN,7900.6,8046.8,8272.5,NaN,8351,8533.8,NaN,8728.4,8875.1,9062,9209.2,9310.8,9497.3,NaN,9687.1,9832.8,10046,NaN,10132,10315,NaN,10509,10654,10836,10991,11097,11284,NaN,11477,11623,11829,11977,12086,12277,NaN,12471,12627,12912,13059,13208,13363,NaN,13554,13692,13901,NaN,13996,14198,NaN,14387,14534,14772,14921,15033,15232,NaN,15427,15580,15759,NaN,15888,16086,NaN,16346,16494,16642,16802,17370,17516,17663,17770,NaN,17965,18112,18512,18650,18800,18908,NaN,19102,19247,19448,NaN,19547,19746,NaN,19941,20100
2053.9,2987.8,3778.1,3950.5,4126.9,4550.3,4788.5,4957.2,5107.8,5254.4,NaN,5450.8,5594.8,5713.2,NaN,5884.4,5993.6,NaN,6239.3,6384.9,6508.2,NaN,6687,6786.6,NaN,7043.3,7198.2,7319.9,NaN,7495.6,7597.5,NaN,7855,8001.1,8130.2,NaN,8322.2,8430.4,NaN,8679.7,8826.6,8956.1,9135.9,9281.2,9390.5,NaN,9640.5,9791,9916.5,NaN,10100,10209,NaN,10461,10613,10744,10914,11059,11177,NaN,11433,11582,11708,11904,12050,12188,NaN,12427,12578,12709,12985,13135,13290,NaN,13507,13656,13776,NaN,13964,14073,NaN,14346,14480,14620,14850,14994,15117,NaN,15382,15537,15666,NaN,15853,15968,NaN,16232,16416,16572,16723,16843,17432,17592,17741,NaN,17907,18076,18199,18586,18729,18873,NaN,19047,19205,19336,NaN,19514,19627,NaN,19896,20046,20187
