n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
2899.4,2990.3,3402.8,3553.9,3847.6,3984.7,4120.3,4258.7,4369.7,NaN,4548.2,4687.8,4899,NaN,4973.9,5158,NaN,5347.5,5491.1,5701.8,NaN,5780.1,5967.8,NaN,6155.2,6296.3,6507.9,NaN,6588.2,6769.3,NaN,6960.4,7108.2,7323,NaN,7400.2,7595.1,NaN,7785,7936.5,8130.1,8276.4,8381.2,8566.8,NaN,8759,8905.3,9118.9,NaN,9201.8,9413.1,9560.5,9700.7,9810.8,NaN,10003,10149,10363,NaN,10444,10644,NaN,10838,10991,11192,NaN,11283,11478,NaN,11678,11824,12067,NaN,12147,12334,NaN,12532,12685,12897,13037,13143,13345,NaN,13540,13694,13935,NaN,14017,14203,NaN,14399,14562,14829,14973,15092,15287,NaN,15486,15640,15857,NaN,15942,16162,NaN,16356,16512,16751,16891,17000,17197,NaN,17394,17543
2934.9,3133,3517.8,3775.2,3919.9,4056.3,4194.6,4331.7,NaN,4496,4634.8,4770.9,NaN,4941.7,5043,NaN,5300.9,5446.2,5569.5,NaN,5750.2,5856.6,NaN,6109.2,6256.6,6379.9,NaN,6554.9,6659.4,NaN,6911.1,7061.1,7191.2,NaN,7374.1,7470.3,NaN,7735.2,7885.3,8019.2,8206.9,8346.8,8459.7,NaN,8712.6,8861.2,8987.6,NaN,9168.2,9272.3,9483.5,9635.1,9780,NaN,9942.5,10107,10229,NaN,10411,10515,NaN,10787,10939,11076,NaN,11250,11353,NaN,11628,11779,11910,NaN,12115,12216,NaN,12481,12634,12766,12972,13109,13216,NaN,13490,13639,13774,NaN,13985,14089,NaN,14348,14499,14642,14903,15048,15185,NaN,15437,15583,15746,NaN,15905,16035,NaN,16298,16447,16593,16814,16964,17092,NaN,17347,17495,17629
