n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l
1972.1,2175.8,2356.3,2519.8,2662.1,2801.1,2947.9,3094.4,3201.6,NaN,3389.2,3533.8,3750.2,NaN,3830.2,4011,NaN,4220.9
2015.5,2220.6,2395.5,2567.5,2727.6,2883.3,3028.5,3166.5,NaN,3336.7,3478.2,3617.2,NaN,3798.5,3898.8,NaN,4156.2,4313.5
